trial_id,loss,mcc_main_y,acc_main_y,prec_main_y,rec_main_y,f1_main_y,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.learning_rate,config.batch_size,config.bidirectional,config.lstm_layers,config.hidden_dim,config.lstm_output_dim,config.dropout_lstm,config.dropout_lin,config.opt_step_size,config.labels,config.classification_tasks,config.regression_tasks,config.loss_fnct,config.weights,config.cnn_layers,config.cnn_kernel_size,config.featset,config.data_path
acc94_00000,0.5715898871421814,0.0,0.7440650463104248,0.7440650463104248,1.0,0.6348763108253479,556.4543011188507,True,,,15,feffdb6d28a842c98047f8a12e98eb9e,2021-10-04_13-41-21,1633344081,8128.153039216995,80689,crimv3mgpu016,10.141.0.3,8128.153039216995,0,15,"0_batch_size=16,bidirectional=False,cnn_kernel_size=10,cnn_layers=2,dropout_lin=0.015978,dropout_lstm=0.67773,hidden_dim=16,learning_rate=0.043591,lstm_layers=1,lstm_output_dim=101,opt_step_size=9",0.043590534676730144,16,False,1,16,101,0.677732889039702,0.015978180429256028,9,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0],2,10,raw,40min_centered
acc94_00001,0.3989015221595764,0.5525484085083008,0.8430090546607971,0.8472237586975098,0.9626334309577942,0.8286172151565552,132.1858639717102,True,,,20,3a811070bab848ea94cc422cfe8c8562,2021-10-04_14-26-49,1633346809,2718.658578157425,80735,crimv3mgpu016,10.141.0.3,2718.658578157425,0,20,"1_batch_size=128,bidirectional=False,cnn_kernel_size=7,cnn_layers=3,dropout_lin=0.67757,dropout_lstm=0.15801,hidden_dim=8,learning_rate=1.0512e-05,lstm_layers=2,lstm_output_dim=34,opt_step_size=17",1.051200580536342e-05,128,False,2,8,34,0.1580093485560471,0.6775704171563866,17,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0],3,7,raw,40min_centered
acc94_00002,0.346614807844162,0.6159302592277527,0.860914945602417,0.8806003928184509,0.940558671951294,0.8555734753608704,228.5215585231781,True,,,10,fe60ad6c09dd4ab1a3227d2933dccd41,2021-10-04_15-05-10,1633349110,2294.493804693222,80674,crimv3mgpu016,10.141.0.3,2294.493804693222,0,10,"2_batch_size=512,bidirectional=True,cnn_kernel_size=4,cnn_layers=1,dropout_lin=0.1762,dropout_lstm=0.49508,hidden_dim=128,learning_rate=0.00028581,lstm_layers=2,lstm_output_dim=145,opt_step_size=10",0.00028580526973302913,512,True,2,128,145,0.49508146948588616,0.1761991453893479,10,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0],1,4,raw,40min_centered
acc94_00003,0.37352097034454346,0.614003598690033,0.8601909279823303,0.8810160160064697,0.9389406442642212,0.8550233840942383,242.9200472831726,True,,,7,f0e8f73a52784e6ab79895c775b36597,2021-10-04_15-33-27,1633350807,1690.7254366874695,80683,crimv3mgpu016,10.141.0.3,1690.7254366874695,0,7,"3_batch_size=64,bidirectional=True,cnn_kernel_size=7,cnn_layers=2,dropout_lin=0.12571,dropout_lstm=0.18969,hidden_dim=64,learning_rate=0.00053847,lstm_layers=1,lstm_output_dim=27,opt_step_size=15",0.000538472714370493,64,True,1,64,27,0.18968898715298455,0.12571356907984887,15,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0],2,7,raw,40min_centered
acc94_00004,0.34738048911094666,0.6086509227752686,0.8594688773155212,0.873640775680542,0.948233425617218,0.8523998260498047,75.17728686332703,True,,,20,b978df6d657c47089b72b8c10b4fa336,2021-10-04_15-58-28,1633352308,1495.1126334667206,80702,crimv3mgpu016,10.141.0.3,1495.1126334667206,0,20,"4_batch_size=256,bidirectional=True,cnn_kernel_size=10,cnn_layers=1,dropout_lin=0.31119,dropout_lstm=0.20599,hidden_dim=8,learning_rate=7.0176e-05,lstm_layers=2,lstm_output_dim=109,opt_step_size=2",7.017591809356155e-05,256,True,2,8,109,0.20599150897688634,0.3111943026967431,2,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0],1,10,raw,40min_centered
acc94_00005,0.6169273853302002,0.0,0.7438870668411255,0.7438870668411255,1.0,0.6346374154090881,75.0240068435669,True,,,20,9eebe1215fea471cb134b1825b5e176f,2021-10-04_16-24-45,1633353885,1570.5107073783875,80673,crimv3mgpu016,10.141.0.3,1570.5107073783875,0,20,"5_batch_size=1024,bidirectional=False,cnn_kernel_size=6,cnn_layers=2,dropout_lin=0.89667,dropout_lstm=0.23393,hidden_dim=64,learning_rate=1.1786e-06,lstm_layers=1,lstm_output_dim=129,opt_step_size=2",1.1785701325963975e-06,1024,False,1,64,129,0.23392635170458453,0.8966670864158736,2,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0],2,6,raw,40min_centered
acc94_00006,0.5688244104385376,0.0,0.7440650463104248,0.7440650463104248,1.0,0.6348763108253479,306.26744651794434,True,,,13,e6f6c4c1231e487c8866fb6df3b2e733,2021-10-04_17-30-47,1633357847,3954.897385120392,80732,crimv3mgpu016,10.141.0.3,3954.897385120392,0,13,"6_batch_size=32,bidirectional=True,cnn_kernel_size=3,cnn_layers=1,dropout_lin=0.10115,dropout_lstm=0.95894,hidden_dim=8,learning_rate=0.013874,lstm_layers=2,lstm_output_dim=71,opt_step_size=17",0.013873957344123649,32,True,2,8,71,0.9589353196824013,0.10114735848967538,17,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0],1,3,raw,40min_centered
acc94_00007,0.3556589186191559,0.5962483882904053,0.8567450642585754,0.8573101162910461,0.9686992168426514,0.8444364666938782,802.0253069400787,True,,,12,bcfac8f8e3e04a3a83b62a0c2160c32a,2021-10-04_20-10-10,1633367410,9553.94303393364,80668,crimv3mgpu016,10.141.0.3,9553.94303393364,0,12,"7_batch_size=32,bidirectional=True,cnn_kernel_size=2,cnn_layers=3,dropout_lin=0.61194,dropout_lstm=0.68276,hidden_dim=128,learning_rate=8.0736e-05,lstm_layers=2,lstm_output_dim=57,opt_step_size=11",8.073613555090826e-05,32,True,2,128,57,0.6827602921852457,0.6119429968385945,11,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0],3,2,raw,40min_centered
acc94_00008,0.5030127167701721,0.0,0.7438870668411255,0.7438870668411255,1.0,0.6346374154090881,122.10245776176453,True,,,6,6e5034784f6f4cafbb8e0f916dcfc2fe,2021-10-04_20-23-35,1633368215,798.6105470657349,80713,crimv3mgpu016,10.141.0.3,798.6105470657349,0,6,"8_batch_size=1024,bidirectional=True,cnn_kernel_size=3,cnn_layers=3,dropout_lin=0.45488,dropout_lstm=0.070139,hidden_dim=64,learning_rate=0.077954,lstm_layers=2,lstm_output_dim=109,opt_step_size=15",0.07795403560128432,1024,True,2,64,109,0.07013931515272764,0.45488421091243425,15,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0],3,3,raw,40min_centered
acc94_00009,0.3536376655101776,0.5959081649780273,0.8564547300338745,0.8603458404541016,0.9634187817573547,0.8453932404518127,176.57183647155762,True,,,20,a3952a5432f04fa1b078fc32d327ff96,2021-10-04_21-20-59,1633371659,3437.330498933792,80694,crimv3mgpu016,10.141.0.3,3437.330498933792,0,20,"9_batch_size=512,bidirectional=True,cnn_kernel_size=6,cnn_layers=3,dropout_lin=0.56262,dropout_lstm=0.079633,hidden_dim=128,learning_rate=2.0919e-05,lstm_layers=1,lstm_output_dim=83,opt_step_size=19",2.09189980518774e-05,512,True,1,128,83,0.07963297056186802,0.562615328293147,19,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0],3,6,raw,40min_centered
