trial_id,loss,mcc_main_y,acc_main_y,prec_main_y,rec_main_y,f1_main_y,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.learning_rate,config.batch_size,config.bidirectional,config.lstm_layers,config.hidden_dim,config.lstm_output_dim,config.dropout_lstm,config.dropout_lin,config.opt_step_size,config.weight_decay,config.labels,config.classification_tasks,config.regression_tasks,config.loss_fnct,config.weights,config.use_cnn,config.cnn_kernel_size,config.featset,config.data_path
10ac0_00010,0.4414934515953064,0.5860298275947571,0.8381538987159729,0.8526601791381836,0.9337131381034851,0.8311102390289307,83.46840810775757,True,,,20,e70ab928acde48228610fe41ad038741,2021-09-27_00-58-42,1632693522,1712.858606338501,210704,crimv3mgpu022,10.141.0.28,1712.858606338501,0,20,"10_batch_size=1024,bidirectional=False,cnn_kernel_size=2,dropout_lin=0.56775,dropout_lstm=0.58161,hidden_dim=128,learning_rate=3.3146e-06,lstm_layers=2,lstm_output_dim=111,opt_step_size=17,weight_decay=1.1269e-05",3.31463128000403e-06,1024,False,2,128,111,0.5816110946428269,0.5677450033008701,17,1.1269189365085185e-05,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0],[True],2,tsfresh,10min_centered
10ac0_00011,0.7449199557304382,-0.0033895059023052454,0.7128052711486816,0.7128509283065796,0.9999053478240967,0.5933504104614258,152.47270584106445,True,,,8,22f7f6ce45f14c15a06ea20bfe6b5817,2021-09-27_01-20-02,1632694802,1272.6027433872223,210696,crimv3mgpu022,10.141.0.28,1272.6027433872223,0,8,"11_batch_size=64,bidirectional=True,cnn_kernel_size=6,dropout_lin=0.74565,dropout_lstm=0.99472,hidden_dim=8,learning_rate=0.0002338,lstm_layers=2,lstm_output_dim=61,opt_step_size=4,weight_decay=0.0069927",0.00023380071981780277,64,True,2,8,61,0.9947206273618555,0.7456543410355382,4,0.0069927022864901,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0],[True],6,tsfresh,10min_centered
10ac0_00012,0.3503001928329468,0.6438798308372498,0.8597248196601868,0.8746578693389893,0.9375206828117371,0.8552945256233215,316.6813530921936,True,,,10,044b62c06aec4808808eb3c89a7effd2,2021-09-27_02-14-28,1632698068,3258.268628358841,210677,crimv3mgpu022,10.141.0.28,3258.268628358841,0,10,"12_batch_size=32,bidirectional=True,cnn_kernel_size=8,dropout_lin=0.23621,dropout_lstm=0.35851,hidden_dim=32,learning_rate=0.0010465,lstm_layers=2,lstm_output_dim=61,opt_step_size=14,weight_decay=4.0591e-05",0.0010464840473754955,32,True,2,32,61,0.35851310502212697,0.2362073111132066,14,4.0590731662270723e-05,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0],[True],8,tsfresh,10min_centered
10ac0_00013,0.5906134247779846,0.0,0.7122480273246765,0.7122480273246765,1.0,0.5925511717796326,44.31049680709839,True,,,19,b184d59f46fe454cad810c66b1729508,2021-09-27_02-29-40,1632698980,904.9797954559326,210689,crimv3mgpu022,10.141.0.28,904.9797954559326,0,19,"13_batch_size=512,bidirectional=True,cnn_kernel_size=4,dropout_lin=0.97616,dropout_lstm=0.50992,hidden_dim=16,learning_rate=0.00096023,lstm_layers=2,lstm_output_dim=46,opt_step_size=8,weight_decay=0.0039741",0.0009602327654187122,512,True,2,16,46,0.5099208551392544,0.9761639556659506,8,0.0039740875436054925,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0],[True],4,tsfresh,10min_centered
10ac0_00014,0.47658827900886536,0.04951529577374458,0.7138508558273315,0.7135682702064514,1.0,0.5956717729568481,152.13334584236145,True,,,6,8801ddbb5bc541f792b173c83a17f427,2021-09-27_02-45-48,1632699948,960.2118656635284,210698,crimv3mgpu022,10.141.0.28,960.2118656635284,0,6,"14_batch_size=64,bidirectional=True,cnn_kernel_size=7,dropout_lin=0.54755,dropout_lstm=0.82226,hidden_dim=8,learning_rate=0.0009945,lstm_layers=2,lstm_output_dim=33,opt_step_size=13,weight_decay=0.00020251",0.0009944953732049587,64,True,2,8,33,0.8222567285528403,0.5475517364632682,13,0.00020251182760951342,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0],[True],7,tsfresh,10min_centered
10ac0_00015,0.39912450313568115,0.5887303948402405,0.8406469225883484,0.8481225967407227,0.9458363056182861,0.8316900730133057,151.3029272556305,True,,,7,aba91c8f0f574ceb9467762b68b0fcea,2021-09-27_03-04-14,1632701054,1096.582956790924,210697,crimv3mgpu022,10.141.0.28,1096.582956790924,0,7,"15_batch_size=64,bidirectional=False,cnn_kernel_size=8,dropout_lin=0.30195,dropout_lstm=0.58874,hidden_dim=64,learning_rate=0.018315,lstm_layers=1,lstm_output_dim=92,opt_step_size=11,weight_decay=0.00065848",0.018314866050105263,64,False,1,64,92,0.5887380488994733,0.30194729805355924,11,0.0006584828272123363,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0],[True],8,tsfresh,10min_centered
10ac0_00016,0.3565657436847687,0.6376374363899231,0.8565923571586609,0.8777985572814941,0.9280222654342651,0.8531045317649841,143.51257133483887,True,,,9,9877de29a3fd47fbb0d72a335591edfc,2021-09-27_03-26-40,1632702400,1339.7071390151978,210700,crimv3mgpu022,10.141.0.28,1339.7071390151978,0,9,"16_batch_size=64,bidirectional=False,cnn_kernel_size=8,dropout_lin=0.29584,dropout_lstm=0.045393,hidden_dim=32,learning_rate=0.0028407,lstm_layers=2,lstm_output_dim=29,opt_step_size=6,weight_decay=0.0088364",0.0028406732330876383,64,False,2,32,29,0.045393038062391144,0.29584250691021974,6,0.008836350642692087,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0],[True],8,tsfresh,10min_centered
10ac0_00017,0.3568990230560303,0.6263440847396851,0.854346513748169,0.8548097610473633,0.9584102034568787,0.8456249833106995,315.5588810443878,True,,,18,8e8a5f65189249b0b5725b52da0dc854,2021-09-27_05-01-51,1632708111,5703.662057161331,210687,crimv3mgpu022,10.141.0.28,5703.662057161331,0,18,"17_batch_size=32,bidirectional=True,cnn_kernel_size=9,dropout_lin=0.49565,dropout_lstm=0.7605,hidden_dim=32,learning_rate=0.00044426,lstm_layers=2,lstm_output_dim=69,opt_step_size=3,weight_decay=0.00064501",0.00044425507255313403,32,True,2,32,69,0.7605043678949377,0.4956506079392069,3,0.0006450057570411033,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0],[True],9,tsfresh,10min_centered
10ac0_00018,0.3648851811885834,0.6263773441314697,0.85346919298172,0.8677345514297485,0.9373217225074768,0.8481937646865845,89.0803439617157,True,,,20,7913cd15a2d04e82bd8f0b23a38745aa,2021-09-27_05-32-28,1632709948,1830.4207921028137,210692,crimv3mgpu022,10.141.0.28,1830.4207921028137,0,20,"18_batch_size=128,bidirectional=True,cnn_kernel_size=2,dropout_lin=0.48813,dropout_lstm=0.054971,hidden_dim=16,learning_rate=1.7772e-05,lstm_layers=2,lstm_output_dim=20,opt_step_size=7,weight_decay=9.3598e-05",1.7771687451977064e-05,128,True,2,16,20,0.05497061079032051,0.488130716086805,7,9.359778541043132e-05,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0],[True],2,tsfresh,10min_centered
10ac0_00019,0.5844196081161499,0.0,0.7128642797470093,0.7128642797470093,1.0,0.5933634042739868,131.3796191215515,True,,,20,274a6ef6e14c403688538cae2f005ca6,2021-09-27_06-16-47,1632712607,2651.6353001594543,210695,crimv3mgpu022,10.141.0.28,2651.6353001594543,0,20,"19_batch_size=64,bidirectional=False,cnn_kernel_size=9,dropout_lin=0.95121,dropout_lstm=0.48745,hidden_dim=16,learning_rate=3.4598e-06,lstm_layers=1,lstm_output_dim=84,opt_step_size=2,weight_decay=0.0028086",3.4598246177925757e-06,64,False,1,16,84,0.48744991445100294,0.951212970280633,2,0.0028086046561949175,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0],[True],9,tsfresh,10min_centered
