trial_id,loss,mcc_main_y,acc_main_y,prec_main_y,rec_main_y,f1_main_y,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.learning_rate,config.batch_size,config.bidirectional,config.lstm_layers,config.hidden_dim,config.lstm_output_dim,config.dropout_lstm,config.dropout_lin,config.opt_step_size,config.weight_decay,config.labels,config.classification_tasks,config.regression_tasks,config.loss_fnct,config.weights
fe200_00010,0.402554452419281,0.5668383836746216,0.8301800489425659,0.8144657611846924,0.9856916069984436,0.8086395859718323,73.52738904953003,True,,,15,7e069d57ad44494ebcc8cb2fdb58f5cf,2021-09-24_04-15-57,1632446157,1126.4331169128418,61711,crimv3mgpu020,10.141.0.25,1126.4331169128418,0,15,"10_batch_size=1024,bidirectional=False,dropout_lin=0.74642,dropout_lstm=0.5886,hidden_dim=64,learning_rate=0.00055526,lstm_layers=2,lstm_output_dim=56,opt_step_size=3,weight_decay=0.00074693",0.0005552634392169254,1024,False,2,64,56,0.5886015702641962,0.7464232037529667,3,0.000746933410989161,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0]
fe200_00011,0.486011266708374,0.5156957507133484,0.8108440637588501,0.7931310534477234,0.9929413199424744,0.7789548635482788,76.68036389350891,True,,,50,d45303e0721148909de0830c7d46651b,2021-09-24_05-17-47,1632449867,3703.652032136917,61724,crimv3mgpu020,10.141.0.25,3703.652032136917,0,50,"11_batch_size=1024,bidirectional=True,dropout_lin=0.9133,dropout_lstm=0.79774,hidden_dim=64,learning_rate=1.9695e-05,lstm_layers=1,lstm_output_dim=125,opt_step_size=11,weight_decay=0.00041479",1.9694880638844492e-05,1024,True,1,64,125,0.7977408518884055,0.9133009060209609,11,0.0004147926171048963,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0]
fe200_00012,0.4026944041252136,0.600603461265564,0.844154953956604,0.8324588537216187,0.9782708883285522,0.8287789821624756,95.64524960517883,True,,,9,a8ffd3d50656492b9cf507d1b434d9e8,2021-09-24_05-33-31,1632450811,938.0118362903595,61704,crimv3mgpu020,10.141.0.25,938.0118362903595,0,9,"12_batch_size=128,bidirectional=True,dropout_lin=0.82422,dropout_lstm=0.77883,hidden_dim=32,learning_rate=0.0011772,lstm_layers=1,lstm_output_dim=129,opt_step_size=12,weight_decay=0.0096124",0.0011772137104039027,128,True,1,32,129,0.7788294040721233,0.8242183738795954,12,0.009612425052239968,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0]
fe200_00013,0.35992011427879333,0.6354368925094604,0.856255054473877,0.8728815317153931,0.9342347383499146,0.8518474102020264,77.17862725257874,True,,,11,bb0add2577964e4ebe1be4c5265d3a32,2021-09-24_05-48-09,1632451689,871.2592670917511,61728,crimv3mgpu020,10.141.0.25,871.2592670917511,0,11,"13_batch_size=512,bidirectional=False,dropout_lin=0.11561,dropout_lstm=0.56944,hidden_dim=16,learning_rate=0.0042608,lstm_layers=1,lstm_output_dim=126,opt_step_size=3,weight_decay=0.00019539",0.004260755521116469,512,False,1,16,126,0.5694432625872922,0.11561111929026613,3,0.0001953888377649806,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0]
fe200_00014,0.3743632733821869,0.6192010641098022,0.8491981625556946,0.8711228370666504,0.9248672723770142,0.8452472686767578,68.19365739822388,True,,,50,ccc7291f03c34b02ae7db6926d8f6b90,2021-09-24_06-44-16,1632455056,3361.2670187950134,61717,crimv3mgpu020,10.141.0.25,3361.2670187950134,0,50,"14_batch_size=2048,bidirectional=False,dropout_lin=0.049218,dropout_lstm=0.10641,hidden_dim=8,learning_rate=2.2744e-05,lstm_layers=2,lstm_output_dim=126,opt_step_size=18,weight_decay=0.0035446",2.2743970785086838e-05,2048,False,2,8,126,0.10640936439813997,0.049218112323896834,18,0.003544617743059792,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0]
fe200_00015,0.5996816754341125,0.0,0.7128695249557495,0.7128695249557495,1.0,0.5933703184127808,340.0475642681122,True,,,50,7b8a75683b1f4593ab3571c073ad11b8,2021-09-24_11-23-51,1632471831,16768.22761130333,61719,crimv3mgpu020,10.141.0.25,16768.22761130333,0,50,"15_batch_size=128,bidirectional=True,dropout_lin=0.80068,dropout_lstm=0.96492,hidden_dim=128,learning_rate=2.0102e-06,lstm_layers=2,lstm_output_dim=11,opt_step_size=13,weight_decay=9.5899e-05",2.010248687158446e-06,128,True,2,128,11,0.9649249985977174,0.800683099652096,13,9.58994557100479e-05,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0]
fe200_00016,0.37973886728286743,0.6018080115318298,0.8450859189033508,0.8522148132324219,0.9466636776924133,0.8368397951126099,125.7901246547699,True,,,16,43a1a62cd5494e2fa2468518c0c2ca22,2021-09-24_11-55-37,1632473737,1899.7464351654053,61721,crimv3mgpu020,10.141.0.25,1899.7464351654053,0,16,"16_batch_size=512,bidirectional=True,dropout_lin=0.28052,dropout_lstm=0.22601,hidden_dim=64,learning_rate=0.042645,lstm_layers=2,lstm_output_dim=129,opt_step_size=11,weight_decay=0.0072908",0.04264549391247955,512,True,2,64,129,0.22600599597887783,0.28051702796874356,11,0.0072908161978271924,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0]
fe200_00017,0.3633255064487457,0.6358405947685242,0.8561774492263794,0.8758386373519897,0.9301023483276367,0.852346658706665,83.52413058280945,True,,,8,bd2d163ea91044f3acaa107a951408e6,2021-09-24_12-06-46,1632474406,662.5710864067078,61718,crimv3mgpu020,10.141.0.25,662.5710864067078,0,8,"17_batch_size=256,bidirectional=True,dropout_lin=0.062708,dropout_lstm=0.31519,hidden_dim=16,learning_rate=0.0020357,lstm_layers=1,lstm_output_dim=119,opt_step_size=17,weight_decay=6.7594e-05",0.0020356505089902228,256,True,1,16,119,0.31519261073745497,0.06270820320173198,17,6.759415657944031e-05,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0]
fe200_00018,0.3646042048931122,0.620963990688324,0.8509005904197693,0.8694465160369873,0.9305772185325623,0.8463035821914673,156.49660968780518,True,,,50,65e90c4996154745bb027754aae3dd04,2021-09-24_14-21-29,1632482489,8076.928067207336,61720,crimv3mgpu020,10.141.0.25,8076.928067207336,0,50,"18_batch_size=64,bidirectional=True,dropout_lin=0.23386,dropout_lstm=0.01459,hidden_dim=32,learning_rate=1.1867e-06,lstm_layers=1,lstm_output_dim=49,opt_step_size=4,weight_decay=0.00087084",1.186652832581193e-06,64,True,1,32,49,0.014589654713989875,0.23385766311946243,4,0.0008708417281484164,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0]
fe200_00019,0.45793265104293823,0.0,0.7128642797470093,0.7128642797470093,1.0,0.5933634042739868,149.39906787872314,True,,,17,cb8c551ecd4b4b13982a3d43784e3e55,2021-09-24_15-05-32,1632485132,2637.242641210556,61709,crimv3mgpu020,10.141.0.25,2637.242641210556,0,17,"19_batch_size=64,bidirectional=False,dropout_lin=0.75324,dropout_lstm=0.41798,hidden_dim=32,learning_rate=0.0057185,lstm_layers=2,lstm_output_dim=36,opt_step_size=4,weight_decay=0.00026258",0.005718544393824224,64,False,2,32,36,0.41797649846737284,0.7532381646405283,4,0.0002625798804200271,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0]
