trial_id,loss,mcc_main_y,acc_main_y,prec_main_y,rec_main_y,f1_main_y,MAE_percentage_y,MSE_percentage_y,r2_percentage_y,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.learning_rate,config.batch_size,config.bidirectional,config.lstm_layers,config.hidden_dim,config.lstm_output_dim,config.dropout_lstm,config.dropout_lin,config.opt_step_size,config.weight_decay,config.labels,config.classification_tasks,config.regression_tasks,config.loss_fnct,config.weights,config.use_cnn,config.cnn_kernel_size,config.featset,config.data_path
07059_00010,2.9367620944976807,0.5779556632041931,0.8412566781044006,0.8550893068313599,0.9403970241546631,0.8330125212669373,71.69376373291016,6730.11572265625,-3.0957417488098145,103.26233243942261,True,,,6,7eac7be45db04018ad4cacf83687ad75,2021-09-27_20-58-47,1632765527,635.3716840744019,108119,crimv3mgpu022,10.141.0.28,635.3716840744019,0,6,"10_batch_size=128,bidirectional=False,cnn_kernel_size=5,dropout_lin=0.43149,dropout_lstm=0.59737,hidden_dim=64,learning_rate=0.015244,lstm_layers=2,lstm_output_dim=94,opt_step_size=18,weight_decay=0.00043354",0.015244010272595324,128,False,2,64,94,0.5973674388677975,0.4314870414494456,18,0.0004335361796494669,"['main_y', 'percentage_y']",['main_y'],['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.L1Loss'>]","[0.9, 0.1]",[True],5,raw,20min_centered
07059_00011,7.019080638885498,0.0,0.7232332825660706,0.7232332825660706,1.0,0.607075572013855,71.52286529541016,6709.5771484375,-3.0732240676879883,26.872435569763184,True,,,20,d8031078c3a8437495a5b224ea05bf36,2021-09-27_21-07-58,1632766078,543.9586389064789,108128,crimv3mgpu022,10.141.0.28,543.9586389064789,0,20,"11_batch_size=2048,bidirectional=False,cnn_kernel_size=10,dropout_lin=0.84981,dropout_lstm=0.3563,hidden_dim=8,learning_rate=8.2113e-05,lstm_layers=2,lstm_output_dim=17,opt_step_size=19,weight_decay=0.0014423",8.21133424958364e-05,2048,False,2,8,17,0.35630396242258566,0.8498087372252604,19,0.0014422920596957674,"['main_y', 'percentage_y']",['main_y'],['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.L1Loss'>]","[0.9, 0.1]",[True],10,raw,20min_centered
07059_00012,2.0007216930389404,0.607342004776001,0.8514487743377686,0.8644363880157471,0.9429674744606018,0.844573974609375,71.69376373291016,6730.11572265625,-3.0957417488098145,148.47228908538818,True,,,9,b4741771cbfa42f2a33fa2d4ab07df2a,2021-09-27_21-30-53,1632767453,1369.039166688919,108126,crimv3mgpu022,10.141.0.28,1369.039166688919,0,9,"12_batch_size=128,bidirectional=True,cnn_kernel_size=5,dropout_lin=0.032334,dropout_lstm=0.60923,hidden_dim=128,learning_rate=0.00052524,lstm_layers=1,lstm_output_dim=80,opt_step_size=11,weight_decay=5.4855e-05",0.000525235306553719,128,True,1,128,80,0.60923328572855,0.032333805626103884,11,5.4854662441801046e-05,"['main_y', 'percentage_y']",['main_y'],['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.L1Loss'>]","[0.9, 0.1]",[True],5,raw,20min_centered
07059_00013,2.002912759780884,0.5942151546478271,0.8463920950889587,0.8630223870277405,0.9368008375167847,0.8397888541221619,71.69376373291016,6730.11572265625,-3.0957417488098145,82.85569858551025,True,,,20,ad9a4e964ff341148b05a597dd0e5857,2021-09-27_21-59-08,1632769148,1686.0983080863953,108132,crimv3mgpu022,10.141.0.28,1686.0983080863953,0,20,"13_batch_size=128,bidirectional=True,cnn_kernel_size=9,dropout_lin=0.14267,dropout_lstm=0.25028,hidden_dim=8,learning_rate=0.012943,lstm_layers=1,lstm_output_dim=57,opt_step_size=17,weight_decay=0.000112",0.012943120398717247,128,True,1,8,57,0.25027969606377687,0.14266700946978306,17,0.00011199522788725181,"['main_y', 'percentage_y']",['main_y'],['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.L1Loss'>]","[0.9, 0.1]",[True],9,raw,20min_centered
07059_00014,3.9521844387054443,0.0,0.7250891923904419,0.7250891923904419,1.0,0.609538733959198,71.70365142822266,6730.96337890625,-3.0977344512939453,411.3526220321655,True,,,10,b7d9e386f82d4cc5bf38650cb1b85aa5,2021-09-27_23-07-29,1632773249,4094.3559300899506,108130,crimv3mgpu022,10.141.0.28,4094.3559300899506,0,10,"14_batch_size=64,bidirectional=True,cnn_kernel_size=5,dropout_lin=0.61788,dropout_lstm=0.095601,hidden_dim=128,learning_rate=5.2638e-06,lstm_layers=2,lstm_output_dim=112,opt_step_size=14,weight_decay=0.00011102",5.2637837506588985e-06,64,True,2,128,112,0.09560140165833508,0.6178795624195133,14,0.00011101940259765842,"['main_y', 'percentage_y']",['main_y'],['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.L1Loss'>]","[0.9, 0.1]",[True],5,raw,20min_centered
07059_00015,2.549800395965576,0.6053036451339722,0.8507139086723328,0.8639314770698547,0.9425209760665894,0.8437939286231995,71.69376373291016,6730.11572265625,-3.0957417488098145,136.4559769630432,True,,,20,883fb1f0b2474c8f8567eb3a0940531e,2021-09-27_23-53-27,1632776007,2747.0380651950836,108133,crimv3mgpu022,10.141.0.28,2747.0380651950836,0,20,"15_batch_size=128,bidirectional=True,cnn_kernel_size=6,dropout_lin=0.39638,dropout_lstm=0.37741,hidden_dim=64,learning_rate=0.00017478,lstm_layers=2,lstm_output_dim=46,opt_step_size=6,weight_decay=0.00029166",0.00017477974454805793,128,True,2,64,46,0.37740738226862314,0.3963782073560891,6,0.00029166470240103514,"['main_y', 'percentage_y']",['main_y'],['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.L1Loss'>]","[0.9, 0.1]",[True],6,raw,20min_centered
07059_00016,2.733099937438965,0.6104418039321899,0.8497340679168701,0.8783972263336182,0.9200989603996277,0.8464616537094116,71.69376373291016,6730.11572265625,-3.0957417488098145,107.62063980102539,True,,,20,1677390a36824a2daba02036327a6f16,2021-09-28_00-30-00,1632778200,2181.342841863632,108112,crimv3mgpu022,10.141.0.28,2181.342841863632,0,20,"16_batch_size=128,bidirectional=False,cnn_kernel_size=10,dropout_lin=0.36,dropout_lstm=0.55272,hidden_dim=128,learning_rate=5.618e-05,lstm_layers=1,lstm_output_dim=42,opt_step_size=19,weight_decay=0.0013155",5.618019728958976e-05,128,False,1,128,42,0.5527222654187868,0.3600009994053962,19,0.0013155433636480773,"['main_y', 'percentage_y']",['main_y'],['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.L1Loss'>]","[0.9, 0.1]",[True],10,raw,20min_centered
07059_00017,3.2970776557922363,0.0,0.7250891923904419,0.7250891923904419,1.0,0.609538733959198,71.70365142822266,6730.96337890625,-3.0977344512939453,269.60370779037476,True,,,7,b434ee4c92144dd4afae1a72d34e9d59,2021-09-28_00-58-54,1632779934,1723.5353815555573,108124,crimv3mgpu022,10.141.0.28,1723.5353815555573,0,7,"17_batch_size=64,bidirectional=False,cnn_kernel_size=9,dropout_lin=0.69078,dropout_lstm=0.054347,hidden_dim=128,learning_rate=0.0087591,lstm_layers=2,lstm_output_dim=38,opt_step_size=19,weight_decay=0.00078516",0.008759085659236948,64,False,2,128,38,0.054347360506308395,0.6907810118785397,19,0.0007851566634895828,"['main_y', 'percentage_y']",['main_y'],['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.L1Loss'>]","[0.9, 0.1]",[True],9,raw,20min_centered
07059_00018,2.215907335281372,0.5691874027252197,0.8386625647544861,0.849521815776825,0.9447827339172363,0.828962504863739,71.68720245361328,6729.18310546875,-3.0951895713806152,278.6965084075928,True,,,7,71ac552c1c634091ad5a4a6e504b640f,2021-09-28_01-31-30,1632781890,1944.6150674819946,108121,crimv3mgpu022,10.141.0.28,1944.6150674819946,0,7,"18_batch_size=32,bidirectional=True,cnn_kernel_size=6,dropout_lin=0.30747,dropout_lstm=0.46365,hidden_dim=8,learning_rate=0.014393,lstm_layers=1,lstm_output_dim=78,opt_step_size=9,weight_decay=2.1251e-05",0.01439304255734212,32,True,1,8,78,0.4636462069913766,0.3074668122953633,9,2.1250999216645706e-05,"['main_y', 'percentage_y']",['main_y'],['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.L1Loss'>]","[0.9, 0.1]",[True],6,raw,20min_centered
07059_00019,6.267484188079834,0.0,0.7246444225311279,0.7246444225311279,1.0,0.6089481711387634,71.66314697265625,6726.6728515625,-3.091200590133667,36.276423931121826,True,,,20,c96cba8a53dd4f0cbe4c2673ba75fe58,2021-09-28_01-44-09,1632782649,748.6132009029388,108120,crimv3mgpu022,10.141.0.28,748.6132009029388,0,20,"19_batch_size=512,bidirectional=False,cnn_kernel_size=7,dropout_lin=0.90726,dropout_lstm=0.32017,hidden_dim=16,learning_rate=0.00013492,lstm_layers=2,lstm_output_dim=12,opt_step_size=9,weight_decay=0.0047271",0.00013492262443219502,512,False,2,16,12,0.320173452721379,0.9072580432644916,9,0.0047270901824918886,"['main_y', 'percentage_y']",['main_y'],['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.L1Loss'>]","[0.9, 0.1]",[True],7,raw,20min_centered
