trial_id,loss,mcc_main_y,acc_main_y,prec_main_y,rec_main_y,f1_main_y,MAE_percentage_y,MSE_percentage_y,r2_percentage_y,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.learning_rate,config.batch_size,config.bidirectional,config.lstm_layers,config.hidden_dim,config.lstm_output_dim,config.dropout_lstm,config.dropout_lin,config.opt_step_size,config.weight_decay,config.labels,config.classification_tasks,config.regression_tasks,config.loss_fnct,config.weights
fda22_00000,17.659391403198242,0.5568174719810486,0.8248698115348816,0.8551235795021057,0.907613217830658,0.8203081488609314,70.54346466064453,6743.0595703125,-2.6844899654388428,78.78624725341797,True,,,50,5d2da1874f374a29a3c9a09f6a13aac4,2021-09-23_20-38-45,1632418725,3906.855446577072,5386,crimv3mgpu004,10.141.0.2,3906.855446577072,0,50,"0_batch_size=2048,bidirectional=True,dropout_lin=0.1476,dropout_lstm=0.64418,hidden_dim=16,learning_rate=3.9544e-06,lstm_layers=1,lstm_output_dim=28,opt_step_size=2,weight_decay=0.0038068",3.954376930378357e-06,2048,True,1,16,28,0.6441840884247721,0.14759568817220836,2,0.0038068254711162617,"['main_y', 'percentage_y']",['main_y'],['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.L1Loss'>]","[0.75, 0.25]"
fda22_00001,15.413955688476562,0.0,0.7128695249557495,0.7128695249557495,1.0,0.5933703184127808,70.68363952636719,6759.17529296875,-2.7009339332580566,89.23108267784119,True,,,50,8cf3fbb543814b28a7c2058f141933de,2021-09-23_21-51-34,1632423094,4362.842581748962,5395,crimv3mgpu004,10.141.0.2,4362.842581748962,0,50,"1_batch_size=256,bidirectional=False,dropout_lin=0.92545,dropout_lstm=0.57899,hidden_dim=64,learning_rate=2.0745e-06,lstm_layers=1,lstm_output_dim=61,opt_step_size=12,weight_decay=1.8591e-05",2.0745363667246377e-06,256,False,1,64,61,0.5789863835045809,0.9254530651439199,12,1.8590911156517806e-05,"['main_y', 'percentage_y']",['main_y'],['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.L1Loss'>]","[0.75, 0.25]"
fda22_00002,4.504762649536133,0.5951851606369019,0.8391628265380859,0.8699814677238464,0.9104447364807129,0.836063027381897,70.68305206298828,6758.9521484375,-2.7011220455169678,182.42918133735657,True,,,17,66334168e2cf4d4983c7a51cd16172f0,2021-09-23_22-44-30,1632426270,3169.2143247127533,5417,crimv3mgpu004,10.141.0.2,3169.2143247127533,0,17,"2_batch_size=64,bidirectional=False,dropout_lin=0.010452,dropout_lstm=0.23101,hidden_dim=16,learning_rate=0.047758,lstm_layers=1,lstm_output_dim=129,opt_step_size=12,weight_decay=0.00020895",0.04775840490581791,64,False,1,16,129,0.2310090086971187,0.010451900422762006,12,0.00020895181274011216,"['main_y', 'percentage_y']",['main_y'],['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.L1Loss'>]","[0.75, 0.25]"
fda22_00003,4.366511821746826,0.5899060368537903,0.8375017046928406,0.8671706914901733,0.911698579788208,0.8340040445327759,70.68305206298828,6758.9521484375,-2.7011220455169678,204.88306164741516,True,,,39,802783795ea2421f8cb6b82568ff9d22,2021-09-24_00-57-20,1632434240,7959.783669471741,5377,crimv3mgpu004,10.141.0.2,7959.783669471741,0,39,"3_batch_size=64,bidirectional=False,dropout_lin=0.051001,dropout_lstm=0.4072,hidden_dim=32,learning_rate=0.025895,lstm_layers=2,lstm_output_dim=128,opt_step_size=12,weight_decay=0.0038934",0.025895364689338105,64,False,2,32,128,0.40720307983104953,0.05100057621060361,12,0.0038934456023771106,"['main_y', 'percentage_y']",['main_y'],['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.L1Loss'>]","[0.75, 0.25]"
fda22_00004,9.605430603027344,0.5595921277999878,0.8306054472923279,0.8259276747703552,0.9659624695777893,0.8146458864212036,70.68363952636719,6759.17529296875,-2.7009339332580566,111.1138551235199,True,,,50,036d0c0157634bf59614ecc30e51d5be,2021-09-24_02-35-20,1632440120,5870.037631750107,5382,crimv3mgpu004,10.141.0.2,5870.037631750107,0,50,"4_batch_size=128,bidirectional=True,dropout_lin=0.62274,dropout_lstm=0.82936,hidden_dim=32,learning_rate=1.4382e-06,lstm_layers=1,lstm_output_dim=32,opt_step_size=4,weight_decay=0.00031806",1.4381804901521303e-06,128,True,1,32,32,0.8293582264172004,0.6227406679239161,4,0.00031805663207172124,"['main_y', 'percentage_y']",['main_y'],['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.L1Loss'>]","[0.75, 0.25]"
fda22_00005,9.242445945739746,0.0,0.7114600539207458,0.7114600539207458,1.0,0.5915129780769348,70.54346466064453,6743.0595703125,-2.6844899654388428,191.37634825706482,True,,,15,994e305a331b47aa88efe2edb8b7d3d1,2021-09-24_03-24-01,1632443041,2910.6192939281464,5402,crimv3mgpu004,10.141.0.2,2910.6192939281464,0,15,"5_batch_size=2048,bidirectional=True,dropout_lin=0.76982,dropout_lstm=0.86142,hidden_dim=128,learning_rate=0.0046579,lstm_layers=2,lstm_output_dim=58,opt_step_size=7,weight_decay=0.00021498",0.004657880062063973,2048,True,2,128,58,0.8614163454237549,0.7698154408453337,7,0.00021498357961383444,"['main_y', 'percentage_y']",['main_y'],['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.L1Loss'>]","[0.75, 0.25]"
fda22_00006,4.427963733673096,0.6304137110710144,0.8539587259292603,0.8746042847633362,0.9281523823738098,0.850127637386322,70.66425323486328,6757.12890625,-2.698350191116333,548.1451349258423,True,,,17,0bcc154c80f849899b726200253b6de7,2021-09-24_06-01-29,1632452489,9437.741328716278,5398,crimv3mgpu004,10.141.0.2,9437.741328716278,0,17,"6_batch_size=32,bidirectional=False,dropout_lin=0.17779,dropout_lstm=0.1072,hidden_dim=128,learning_rate=0.0014974,lstm_layers=2,lstm_output_dim=100,opt_step_size=7,weight_decay=0.00071189",0.001497430750010977,32,False,2,128,100,0.10719690014906869,0.17778568727762467,7,0.0007118936369424773,"['main_y', 'percentage_y']",['main_y'],['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.L1Loss'>]","[0.75, 0.25]"
fda22_00007,5.894736289978027,0.5747774243354797,0.8324081897735596,0.8577852845191956,0.9163666367530823,0.8274710774421692,70.54346466064453,6743.0595703125,-2.6844899654388428,71.2724781036377,True,,,16,fb2043a8cd00488c8d40e8ca6ef9f239,2021-09-24_06-23-34,1632453814,1315.5314688682556,5385,crimv3mgpu004,10.141.0.2,1315.5314688682556,0,16,"7_batch_size=2048,bidirectional=True,dropout_lin=0.69993,dropout_lstm=0.82044,hidden_dim=16,learning_rate=0.03075,lstm_layers=2,lstm_output_dim=76,opt_step_size=8,weight_decay=3.7502e-05",0.03075018321082792,2048,True,2,16,76,0.8204439169393056,0.6999285737027798,8,3.7501977789205627e-05,"['main_y', 'percentage_y']",['main_y'],['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.L1Loss'>]","[0.75, 0.25]"
fda22_00008,6.675397872924805,0.6146660447120667,0.8499392867088318,0.8570496439933777,0.9475396275520325,0.8423845767974854,70.68305206298828,6758.9521484375,-2.7011220455169678,321.6752519607544,True,,,23,03da3567ddb54379a710c3fe5fe4f1c4,2021-09-24_08-26-07,1632461167,7346.355918169022,5409,crimv3mgpu004,10.141.0.2,7346.355918169022,0,23,"8_batch_size=64,bidirectional=False,dropout_lin=0.79551,dropout_lstm=0.63729,hidden_dim=128,learning_rate=0.00043022,lstm_layers=2,lstm_output_dim=52,opt_step_size=5,weight_decay=0.00014409",0.0004302170144527195,64,False,2,128,52,0.6372913324730288,0.7955106125094444,5,0.00014409026590636017,"['main_y', 'percentage_y']",['main_y'],['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.L1Loss'>]","[0.75, 0.25]"
fda22_00009,7.641447067260742,0.0,0.7128642797470093,0.7128642797470093,1.0,0.5933634042739868,70.68305206298828,6758.9521484375,-2.7011220455169678,192.6507613658905,True,,,15,fac4bb0601d94c7baf05393bbea348b8,2021-09-24_09-14-49,1632464089,2915.6420884132385,5415,crimv3mgpu004,10.141.0.2,2915.6420884132385,0,15,"9_batch_size=64,bidirectional=True,dropout_lin=0.99824,dropout_lstm=0.59768,hidden_dim=16,learning_rate=0.00083186,lstm_layers=1,lstm_output_dim=19,opt_step_size=15,weight_decay=0.00033168",0.0008318554549593153,64,True,1,16,19,0.5976849634377757,0.9982407417100916,15,0.0003316826664007688,"['main_y', 'percentage_y']",['main_y'],['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.L1Loss'>]","[0.75, 0.25]"
