trial_id,loss,mcc_main_y,acc_main_y,prec_main_y,rec_main_y,f1_main_y,MAE_percentage_y,MSE_percentage_y,r2_percentage_y,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.learning_rate,config.batch_size,config.bidirectional,config.lstm_layers,config.hidden_dim,config.lstm_output_dim,config.dropout_lstm,config.dropout_lin,config.opt_step_size,config.labels,config.classification_tasks,config.regression_tasks,config.loss_fnct,config.weights,config.cnn_layers,config.cnn_kernel_size,config.featset,config.data_path
08763_00010,2.621663808822632,0.6282394528388977,0.8655086755752563,0.8828067183494568,0.9446873664855957,0.8601507544517517,73.38082122802734,6727.2587890625,-3.8706109523773193,239.04589223861694,True,,,20,e44e0a1849714a0da0abd9c5740b1e3d,2021-10-05_12-14-03,1633425243,4860.418933868408,397529,crimv3srv033,10.141.0.15,4860.418933868408,0,20,"10_batch_size=64,bidirectional=False,cnn_kernel_size=5,cnn_layers=3,dropout_lin=0.47492,dropout_lstm=0.086291,hidden_dim=64,learning_rate=5.4895e-05,lstm_layers=2,lstm_output_dim=16,opt_step_size=3",5.489543162021885e-05,64,False,2,64,16,0.08629096819431747,0.4749190354404196,3,"['main_y', 'percentage_y']",['main_y'],['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.L1Loss'>]","[0.9, 0.1]",3,5,tsfresh,40min_centered
08763_00011,2.3082776069641113,0.6467458605766296,0.8711313009262085,0.8908355236053467,0.94222491979599,0.867046058177948,73.35541534423828,6724.49609375,-3.865095853805542,63.225098609924316,True,,,20,9d9131670f3f4bfd8734040bd6bd4386,2021-10-05_12-36-22,1633426582,1330.4933018684387,397526,crimv3srv033,10.141.0.15,1330.4933018684387,0,20,"11_batch_size=2048,bidirectional=True,cnn_kernel_size=8,cnn_layers=2,dropout_lin=0.22645,dropout_lstm=0.31617,hidden_dim=16,learning_rate=0.0020181,lstm_layers=1,lstm_output_dim=125,opt_step_size=19",0.0020180948282372225,2048,True,1,16,125,0.3161689831661233,0.22644822476224769,19,"['main_y', 'percentage_y']",['main_y'],['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.L1Loss'>]","[0.9, 0.1]",2,8,tsfresh,40min_centered
08763_00012,6.533819198608398,0.5112983584403992,0.7759070992469788,0.9178946614265442,0.7673975229263306,0.7874498963356018,73.35541534423828,6724.49609375,-3.865095853805542,93.98990488052368,True,,,20,73899de18a6849efa29009221cadbaa3,2021-10-05_13-09-05,1633428545,1956.9577429294586,397544,crimv3srv033,10.141.0.15,1956.9577429294586,0,20,"12_batch_size=2048,bidirectional=True,cnn_kernel_size=4,cnn_layers=3,dropout_lin=0.84698,dropout_lstm=0.79934,hidden_dim=64,learning_rate=1.1938e-05,lstm_layers=1,lstm_output_dim=161,opt_step_size=13",1.19377469211726e-05,2048,True,1,64,161,0.7993448931597059,0.8469794814709841,13,"['main_y', 'percentage_y']",['main_y'],['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.L1Loss'>]","[0.9, 0.1]",3,4,tsfresh,40min_centered
08763_00013,2.5795114040374756,0.6385583877563477,0.8697227835655212,0.8803534507751465,0.9546080231666565,0.863265872001648,73.35541534423828,6724.49609375,-3.865095853805542,75.26531052589417,True,,,20,599742c52e9f409d84e26008e5dabd3a,2021-10-05_13-35-38,1633430138,1586.0744013786316,397542,crimv3srv033,10.141.0.15,1586.0744013786316,0,20,"13_batch_size=2048,bidirectional=False,cnn_kernel_size=7,cnn_layers=2,dropout_lin=0.39092,dropout_lstm=0.57535,hidden_dim=64,learning_rate=0.005481,lstm_layers=2,lstm_output_dim=148,opt_step_size=19",0.005481017947713589,2048,False,2,64,148,0.5753481671445472,0.39092441935044564,19,"['main_y', 'percentage_y']",['main_y'],['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.L1Loss'>]","[0.9, 0.1]",2,7,tsfresh,40min_centered
08763_00014,2.4304935932159424,0.6460635662078857,0.8713942170143127,0.888121485710144,0.9463273882865906,0.8666704297065735,73.35541534423828,6724.49609375,-3.865095853805542,99.29015636444092,True,,,10,2597cea1694d4b5280395698dee4ca89,2021-10-05_13-53-53,1633431233,1088.4808206558228,397534,crimv3srv033,10.141.0.15,1088.4808206558228,0,10,"14_batch_size=1024,bidirectional=False,cnn_kernel_size=3,cnn_layers=2,dropout_lin=0.16569,dropout_lstm=0.11594,hidden_dim=128,learning_rate=0.00040169,lstm_layers=2,lstm_output_dim=51,opt_step_size=16",0.0004016879264962851,1024,False,2,128,51,0.11594143580359828,0.16569099771381945,16,"['main_y', 'percentage_y']",['main_y'],['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.L1Loss'>]","[0.9, 0.1]",2,3,tsfresh,40min_centered
08763_00015,2.9578211307525635,0.0,0.7440650463104248,0.7440650463104248,1.0,0.6348763108253479,73.37128448486328,6725.79833984375,-3.869826316833496,701.361330986023,True,,,7,7ff05c48db4f4df0b2fe2597b7f97db5,2021-10-05_15-14-13,1633436053,4814.030740976334,397512,crimv3srv033,10.141.0.15,4814.030740976334,0,7,"15_batch_size=16,bidirectional=True,cnn_kernel_size=3,cnn_layers=2,dropout_lin=0.93272,dropout_lstm=0.72734,hidden_dim=8,learning_rate=0.0085358,lstm_layers=2,lstm_output_dim=174,opt_step_size=10",0.008535794103811856,16,True,2,8,174,0.727340982101307,0.9327182811085467,10,"['main_y', 'percentage_y']",['main_y'],['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.L1Loss'>]","[0.9, 0.1]",2,3,tsfresh,40min_centered
08763_00016,2.8349099159240723,0.0,0.7440650463104248,0.7440650463104248,1.0,0.6348763108253479,73.37128448486328,6725.79833984375,-3.869826316833496,583.5326766967773,True,,,20,d58a31f4afd6427caf42adb801412aee,2021-10-05_18-34-28,1633448068,12007.884911775589,397521,crimv3srv033,10.141.0.15,12007.884911775589,0,20,"16_batch_size=16,bidirectional=True,cnn_kernel_size=6,cnn_layers=1,dropout_lin=0.92815,dropout_lstm=0.21643,hidden_dim=8,learning_rate=0.00010171,lstm_layers=2,lstm_output_dim=84,opt_step_size=7",0.00010170507600071919,16,True,2,8,84,0.21643233145948793,0.9281450752512853,7,"['main_y', 'percentage_y']",['main_y'],['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.L1Loss'>]","[0.9, 0.1]",1,6,tsfresh,40min_centered
08763_00017,2.319957971572876,0.0,0.7438870668411255,0.7438870668411255,1.0,0.6346374154090881,73.35541534423828,6724.49609375,-3.865095853805542,68.97420310974121,True,,,20,497f4696baa54b97b3821bce29ea7485,2021-10-05_18-58-48,1633449528,1450.747982263565,397527,crimv3srv033,10.141.0.15,1450.747982263565,0,20,"17_batch_size=256,bidirectional=True,cnn_kernel_size=8,cnn_layers=1,dropout_lin=0.84615,dropout_lstm=0.73303,hidden_dim=16,learning_rate=0.0056229,lstm_layers=1,lstm_output_dim=169,opt_step_size=17",0.005622895455949431,256,True,1,16,169,0.7330337775107659,0.8461481178398418,17,"['main_y', 'percentage_y']",['main_y'],['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.L1Loss'>]","[0.9, 0.1]",1,8,tsfresh,40min_centered
08763_00018,3.1019208431243896,0.0,0.7440650463104248,0.7440650463104248,1.0,0.6348763108253479,73.37128448486328,6725.79833984375,-3.869826316833496,645.6670770645142,True,,,8,dcb751a7706d4e0db87659aac323cf92,2021-10-05_20-26-18,1633454778,5243.052192211151,397519,crimv3srv033,10.141.0.15,5243.052192211151,0,8,"18_batch_size=16,bidirectional=False,cnn_kernel_size=3,cnn_layers=3,dropout_lin=0.10073,dropout_lstm=0.82068,hidden_dim=16,learning_rate=0.026358,lstm_layers=2,lstm_output_dim=159,opt_step_size=8",0.026358092037667633,16,False,2,16,159,0.8206848784009714,0.10072543171869541,8,"['main_y', 'percentage_y']",['main_y'],['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.L1Loss'>]","[0.9, 0.1]",3,3,tsfresh,40min_centered
08763_00019,7.905440330505371,0.0,0.7438870668411255,0.7438870668411255,1.0,0.6346374154090881,74.09107208251953,6871.67822265625,-3.9715805053710938,79.82720899581909,True,,,20,18267012205b4508a904de52652d2c9c,2021-10-05_20-55-42,1633456542,1757.8784697055817,397524,crimv3srv033,10.141.0.15,1757.8784697055817,0,20,"19_batch_size=1024,bidirectional=True,cnn_kernel_size=6,cnn_layers=1,dropout_lin=0.042703,dropout_lstm=0.08711,hidden_dim=64,learning_rate=1.0567e-06,lstm_layers=2,lstm_output_dim=23,opt_step_size=17",1.0566787697182938e-06,1024,True,2,64,23,0.08710970702316989,0.04270340961518304,17,"['main_y', 'percentage_y']",['main_y'],['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.L1Loss'>]","[0.9, 0.1]",1,6,tsfresh,40min_centered
