trial_id,loss,mcc_main_y,acc_main_y,prec_main_y,rec_main_y,f1_main_y,MAE_y,MSE_y,r2_y,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.learning_rate,config.batch_size,config.bidirectional,config.lstm_layers,config.hidden_dim,config.lstm_output_dim,config.dropout_lstm,config.dropout_lin,config.opt_step_size,config.weight_decay
10fa0_00000,7.126522541046143,0.5738297700881958,0.8346953988075256,0.8433427214622498,0.942783534526825,0.825238049030304,27.313032150268555,1154.89404296875,0.36895182728767395,35.34764885902405,True,,,50,34fe3dbcc5244e6d96794066e06358ec,2021-09-20_15-41-48,1632141708,1735.6801552772522,127871,crimv3mgpu020,10.141.0.25,1735.6801552772522,0,50,"0_batch_size=2048,bidirectional=True,dropout_lin=0.49112,dropout_lstm=0.71915,hidden_dim=32,learning_rate=0.0030363,lstm_layers=1,lstm_output_dim=110,opt_step_size=2,weight_decay=0.0011337",0.0030363087280807707,2048,True,1,32,110,0.719150310154773,0.49111893343259727,2,0.0011336766867014448
10fa0_00001,5.247110843658447,0.5861461758613586,0.8387412428855896,0.8546966910362244,0.9322806000709534,0.8320027589797974,19.809837341308594,1212.3642578125,0.33612367510795593,261.43968057632446,True,,,50,1cf95432c0ba4c4cb7aa94e55101b896,2021-09-20_19-21-30,1632154890,13175.731428861618,127807,crimv3mgpu020,10.141.0.25,13175.731428861618,0,50,"1_batch_size=64,bidirectional=True,dropout_lin=0.24476,dropout_lstm=0.32415,hidden_dim=128,learning_rate=0.0002539,lstm_layers=1,lstm_output_dim=119,opt_step_size=5,weight_decay=0.00015636",0.00025389813303070956,64,True,1,128,119,0.32415089337954106,0.24475927695391986,5,0.0001563625577729033
10fa0_00002,4.622037410736084,0.5781123042106628,0.8363931179046631,0.8487075567245483,0.9376412630081177,0.8282335996627808,17.29936408996582,1262.992431640625,0.3084582984447479,58.08580803871155,True,,,24,87fbfd9006054e0892e0c8331969c3af,2021-09-20_19-44-41,1632156281,1384.4688000679016,127872,crimv3mgpu020,10.141.0.25,1384.4688000679016,0,24,"2_batch_size=256,bidirectional=True,dropout_lin=0.29778,dropout_lstm=0.42786,hidden_dim=32,learning_rate=0.0048975,lstm_layers=1,lstm_output_dim=92,opt_step_size=8,weight_decay=0.0014906",0.004897529139549031,256,True,1,32,92,0.4278634908378195,0.2977804977404459,8,0.0014906166728108328
10fa0_00003,5.579044818878174,0.5861871242523193,0.8370028138160706,0.861541211605072,0.9188143014907837,0.8323183655738831,20.979286193847656,1436.9573974609375,0.21413379907608032,39.39619565010071,True,,,50,2c98ac14a23c446d9cef3f208efc8aa2,2021-09-20_20-18-34,1632158314,2027.1222560405731,127870,crimv3mgpu020,10.141.0.25,2027.1222560405731,0,50,"3_batch_size=512,bidirectional=True,dropout_lin=0.63098,dropout_lstm=0.29371,hidden_dim=16,learning_rate=0.0011353,lstm_layers=2,lstm_output_dim=42,opt_step_size=11,weight_decay=0.002143",0.0011353180782126514,512,True,2,16,42,0.29371404638882936,0.6309761238544878,11,0.002142956309076902
10fa0_00004,14.673911094665527,0.5411651134490967,0.8244296908378601,0.8252586722373962,0.956174910068512,0.8093546032905579,57.2828369140625,4286.4345703125,-1.3470040559768677,93.3563597202301,True,,,50,ffa59509da5d411aa9d9610966635439,2021-09-20_21-35-13,1632162913,4593.103464841843,127846,crimv3mgpu020,10.141.0.25,4593.103464841843,0,50,"4_batch_size=128,bidirectional=True,dropout_lin=0.75038,dropout_lstm=0.88987,hidden_dim=32,learning_rate=1.3801e-06,lstm_layers=1,lstm_output_dim=108,opt_step_size=13,weight_decay=0.0067995",1.3800975192197112e-06,128,True,1,32,108,0.889865699606771,0.7503787047668483,13,0.006799548167126575
10fa0_00005,5.824042797088623,0.5653637051582336,0.8327736854553223,0.8330415487289429,0.9572755694389343,0.8195798397064209,22.114627838134766,1072.863525390625,0.4125618636608124,47.722952365875244,True,,,17,21291d744bb34200a9debba9e43de654,2021-09-20_21-49-25,1632163765,845.7075810432434,127832,crimv3mgpu020,10.141.0.25,845.7075810432434,0,17,"5_batch_size=256,bidirectional=True,dropout_lin=0.25046,dropout_lstm=0.86631,hidden_dim=8,learning_rate=0.00032299,lstm_layers=1,lstm_output_dim=111,opt_step_size=12,weight_decay=0.00030653",0.00032298576306232055,256,True,1,8,111,0.8663091578833659,0.2504553653965067,12,0.00030653167831444804
10fa0_00006,9.472420692443848,0.0,0.7128695249557495,0.7128695249557495,1.0,0.5933703184127808,36.48192596435547,1724.990966796875,0.05549459159374237,109.25210762023926,True,,,43,4edd0593f215461bbd8ee9db5b36fb01,2021-09-20_23-08-54,1632168534,4762.976520776749,127862,crimv3mgpu020,10.141.0.25,4762.976520776749,0,43,"6_batch_size=128,bidirectional=True,dropout_lin=0.60306,dropout_lstm=0.82634,hidden_dim=64,learning_rate=1.4594e-05,lstm_layers=1,lstm_output_dim=20,opt_step_size=13,weight_decay=0.00019964",1.459417837117883e-05,128,True,1,64,20,0.8263408005068332,0.6030601284109274,13,0.0001996432897784335
10fa0_00007,13.179856300354004,0.5117378234863281,0.8144404888153076,0.8174025416374207,0.9524705410003662,0.7975783348083496,51.35805892944336,3419.753662109375,-0.8724596500396729,46.24449968338013,True,,,50,082ca833fdee451d89df3a03a431c67e,2021-09-20_23-47-26,1632170846,2305.449945449829,127841,crimv3mgpu020,10.141.0.25,2305.449945449829,0,50,"7_batch_size=256,bidirectional=False,dropout_lin=0.51042,dropout_lstm=0.87546,hidden_dim=16,learning_rate=1.1189e-06,lstm_layers=1,lstm_output_dim=75,opt_step_size=10,weight_decay=6.3803e-05",1.118888340747264e-06,256,False,1,16,75,0.8754568417951749,0.5104223374780111,10,6.380341481037176e-05
10fa0_00008,7.629454135894775,0.0,0.7128695249557495,0.7128695249557495,1.0,0.5933703184127808,28.766366958618164,2653.724853515625,-0.4530264139175415,68.19939541816711,True,,,9,15ec4f88b8264a27b09672b0f5766a2f,2021-09-20_23-57-55,1632171475,622.0739295482635,127867,crimv3mgpu020,10.141.0.25,622.0739295482635,0,9,"8_batch_size=256,bidirectional=True,dropout_lin=0.89111,dropout_lstm=0.31497,hidden_dim=64,learning_rate=0.01532,lstm_layers=1,lstm_output_dim=95,opt_step_size=7,weight_decay=3.8253e-05",0.015320184123405646,256,True,1,64,95,0.3149664458906861,0.8911090958391604,7,3.825329782609072e-05
10fa0_00009,7.632182598114014,0.0,0.7128642797470093,0.7128642797470093,1.0,0.5933634042739868,28.728797912597656,2645.345947265625,-0.44856008887290955,149.80364632606506,True,,,17,c332396c302b4c308d25a90b2cd68881,2021-09-21_00-41-07,1632174067,2584.3827743530273,127878,crimv3mgpu020,10.141.0.25,2584.3827743530273,0,17,"9_batch_size=64,bidirectional=False,dropout_lin=0.99429,dropout_lstm=0.91906,hidden_dim=32,learning_rate=0.00072826,lstm_layers=1,lstm_output_dim=107,opt_step_size=14,weight_decay=0.00060715",0.0007282572007264825,64,False,1,32,107,0.9190568009273435,0.994289919854173,14,0.0006071494952921909
