trial_id,loss,mcc_main_y,acc_main_y,prec_main_y,rec_main_y,f1_main_y,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.learning_rate,config.batch_size,config.bidirectional,config.lstm_layers,config.hidden_dim,config.lstm_output_dim,config.dropout_lstm,config.dropout_lin,config.opt_step_size,config.weight_decay,config.labels,config.classification_tasks,config.regression_tasks,config.loss_fnct,config.weights,config.use_cnn,config.cnn_kernel_size,config.featset,config.data_path
3fe5b_00010,0.5702109932899475,0.0,0.7553523182868958,0.7553523182868958,1.0,0.6500770449638367,59.72351813316345,True,,,20,68e2ba48bceb44a28d578096f11a3390,2021-09-26_22-35-50,1632684950,1253.5697190761566,205156,crimv3srv040,10.141.0.34,1253.5697190761566,0,20,"10_batch_size=256,bidirectional=True,cnn_kernel_size=3,dropout_lin=0.83146,dropout_lstm=0.13069,hidden_dim=32,learning_rate=1.2841e-05,lstm_layers=1,lstm_output_dim=13,opt_step_size=6,weight_decay=0.00010847",1.2841098154337246e-05,256,True,1,32,13,0.13069297641425448,0.8314571002198722,6,0.00010847069985039295,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0],[True],3,raw,40min_notcentered
3fe5b_00011,0.45681890845298767,0.20876315236091614,0.7696815133094788,0.7667551040649414,0.9989681839942932,0.6837122440338135,198.25805568695068,True,,,12,20f44d99d1e5475e99f9c036c05fd907,2021-09-26_23-17-03,1632687423,2465.2869329452515,205190,crimv3srv040,10.141.0.34,2465.2869329452515,0,12,"11_batch_size=256,bidirectional=True,cnn_kernel_size=10,dropout_lin=0.4738,dropout_lstm=0.17911,hidden_dim=128,learning_rate=0.011097,lstm_layers=2,lstm_output_dim=38,opt_step_size=12,weight_decay=2.2191e-05",0.011096753454953449,256,True,2,128,38,0.17910778084040768,0.4738031095153954,12,2.219137499650828e-05,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0],[True],10,raw,40min_notcentered
3fe5b_00012,0.3597271740436554,0.5749817490577698,0.8544854521751404,0.8650593757629395,0.956506073474884,0.8439686894416809,288.3697872161865,True,,,8,6240db6f2924463ca129f76e33ceeac1,2021-09-26_23-59-30,1632689970,2535.2606585025787,205178,crimv3srv040,10.141.0.34,2535.2606585025787,0,8,"12_batch_size=32,bidirectional=False,cnn_kernel_size=2,dropout_lin=0.38695,dropout_lstm=0.13666,hidden_dim=128,learning_rate=7.502e-05,lstm_layers=1,lstm_output_dim=33,opt_step_size=15,weight_decay=0.0046244",7.502015651252211e-05,32,False,1,128,33,0.13665898194815318,0.38695206720416453,15,0.004624438045012665,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0],[True],2,raw,40min_notcentered
3fe5b_00013,0.35539522767066956,0.5801798105239868,0.8559142351150513,0.8682025074958801,0.9540849328041077,0.8463242053985596,213.6856882572174,True,,,9,871d550618ae43c68eff9384765a8e90,2021-09-27_00-32-31,1632691951,1968.2571289539337,205172,crimv3srv040,10.141.0.34,1968.2571289539337,0,9,"13_batch_size=64,bidirectional=False,cnn_kernel_size=9,dropout_lin=0.092531,dropout_lstm=0.073036,hidden_dim=128,learning_rate=7.7644e-05,lstm_layers=2,lstm_output_dim=37,opt_step_size=19,weight_decay=5.8744e-05",7.764356846191017e-05,64,False,2,128,37,0.07303602560230338,0.09253127139093542,19,5.874404904637712e-05,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0],[True],9,raw,40min_notcentered
3fe5b_00014,0.38418254256248474,0.5284154415130615,0.841367781162262,0.8355023264884949,0.9836602807044983,0.8179274797439575,132.08881402015686,True,,,13,68911a50499e454a9e13072faf6b392d,2021-09-27_01-01-34,1632693694,1730.866546869278,205148,crimv3srv040,10.141.0.34,1730.866546869278,0,13,"14_batch_size=64,bidirectional=False,cnn_kernel_size=9,dropout_lin=0.76603,dropout_lstm=0.48307,hidden_dim=16,learning_rate=0.00020479,lstm_layers=1,lstm_output_dim=110,opt_step_size=15,weight_decay=0.00016092",0.0002047855571267866,64,False,1,16,110,0.4830664101067158,0.7660304825453673,15,0.00016091677806751424,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0],[True],9,raw,40min_notcentered
3fe5b_00015,0.39539459347724915,0.524308979511261,0.840215265750885,0.8455861806869507,0.9645393490791321,0.8233349919319153,211.2632555961609,True,,,18,2ad15d32cfec408eb7dcea2ffd7ac367,2021-09-27_02-06-00,1632697560,3854.5479879379272,205141,crimv3srv040,10.141.0.34,3854.5479879379272,0,18,"15_batch_size=32,bidirectional=False,cnn_kernel_size=2,dropout_lin=0.45629,dropout_lstm=0.70544,hidden_dim=16,learning_rate=0.014251,lstm_layers=1,lstm_output_dim=42,opt_step_size=3,weight_decay=6.2607e-05",0.014251093712340974,32,False,1,16,42,0.7054376251838628,0.45629043005685344,3,6.26069270869524e-05,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0],[True],2,raw,40min_notcentered
3fe5b_00016,0.37224557995796204,0.5329849123954773,0.8428871631622314,0.8386925458908081,0.9806059002876282,0.8212368488311768,134.13141465187073,True,,,13,81b61b5e7ce54173ad48cac06eaa73c6,2021-09-27_02-35-51,1632699351,1779.006509065628,205140,crimv3srv040,10.141.0.34,1779.006509065628,0,13,"16_batch_size=64,bidirectional=True,cnn_kernel_size=5,dropout_lin=0.69501,dropout_lstm=0.53966,hidden_dim=8,learning_rate=0.00061595,lstm_layers=1,lstm_output_dim=23,opt_step_size=17,weight_decay=0.00098169",0.0006159477832347167,64,True,1,8,23,0.5396574854106565,0.6950131606643667,17,0.0009816882121087102,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0],[True],5,raw,40min_notcentered
3fe5b_00017,0.4196932315826416,0.0,0.7553646564483643,0.7553646564483643,1.0,0.650093674659729,136.02989840507507,True,,,20,1a4c1cbff0174445b7023fea083390a8,2021-09-27_03-21-28,1632702088,2725.803633213043,205163,crimv3srv040,10.141.0.34,2725.803633213043,0,20,"17_batch_size=64,bidirectional=False,cnn_kernel_size=2,dropout_lin=0.72096,dropout_lstm=0.052427,hidden_dim=16,learning_rate=4.7551e-06,lstm_layers=2,lstm_output_dim=56,opt_step_size=2,weight_decay=1.7211e-05",4.755064007564422e-06,64,False,2,16,56,0.052427188446916295,0.7209583478283405,2,1.7211186583388454e-05,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0],[True],2,raw,40min_notcentered
3fe5b_00018,0.45305174589157104,0.2939985990524292,0.7826490998268127,0.776613712310791,0.9998508095741272,0.7096090316772461,40.63708519935608,True,,,14,ce9a20216a9148a18ace5f167d0ba5e4,2021-09-27_03-31-43,1632702703,603.925674200058,205155,crimv3srv040,10.141.0.34,603.925674200058,0,14,"18_batch_size=512,bidirectional=False,cnn_kernel_size=9,dropout_lin=0.88856,dropout_lstm=0.53707,hidden_dim=32,learning_rate=0.00038465,lstm_layers=1,lstm_output_dim=117,opt_step_size=19,weight_decay=0.00049234",0.00038465256506002164,512,False,1,32,117,0.5370705234066283,0.8885612195760821,19,0.0004923433428161481,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0],[True],9,raw,40min_notcentered
3fe5b_00019,0.3629985451698303,0.5728791356086731,0.8542166948318481,0.8628062009811401,0.9595853090286255,0.8428211808204651,149.71261739730835,True,,,7,aa463106508249c3affad97f255278e5,2021-09-27_03-49-44,1632703784,1073.1122105121613,205167,crimv3srv040,10.141.0.34,1073.1122105121613,0,7,"19_batch_size=64,bidirectional=True,cnn_kernel_size=2,dropout_lin=0.32668,dropout_lstm=0.82888,hidden_dim=32,learning_rate=0.00067698,lstm_layers=1,lstm_output_dim=60,opt_step_size=3,weight_decay=6.2198e-05",0.0006769800130729992,64,True,1,32,60,0.8288818476517473,0.3266755271890198,3,6.219822754433144e-05,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0],[True],2,raw,40min_notcentered
