trial_id,loss,mcc_main_y,acc_main_y,prec_main_y,rec_main_y,f1_main_y,MAE_percentage_y,MSE_percentage_y,r2_percentage_y,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.learning_rate,config.batch_size,config.bidirectional,config.lstm_layers,config.hidden_dim,config.lstm_output_dim,config.dropout_lstm,config.dropout_lin,config.opt_step_size,config.weight_decay,config.labels,config.classification_tasks,config.regression_tasks,config.loss_fnct,config.weights
b4040_00011,18.420387268066406,0.0,0.723404049873352,0.723404049873352,1.0,0.6073020696640015,71.54000854492188,6712.82470703125,-3.0730366706848145,26.892513513565063,True,,,50,16dc7f7e014247fa96826ab4683edef3,2021-09-24_06-16-32,1632453392,1338.6917986869812,348541,crimv3mgpu008,10.141.0.6,1338.6917986869812,0,50,"11_batch_size=1024,bidirectional=True,dropout_lin=0.9225,dropout_lstm=0.099492,hidden_dim=8,learning_rate=1.5441e-06,lstm_layers=2,lstm_output_dim=8,opt_step_size=6,weight_decay=0.00057602",1.544080520832124e-06,1024,True,2,8,8,0.0994915002481166,0.9224975303096947,6,0.0005760151026066857,"['main_y', 'percentage_y']",['main_y'],['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.L1Loss'>]","[0.75, 0.25]"
b4040_00012,4.338225841522217,0.5914293527603149,0.8449411392211914,0.8637477159500122,0.9332342147827148,0.8387605547904968,71.66314697265625,6726.6728515625,-3.091200590133667,42.83933925628662,True,,,36,fac17e47006a4434852bad019033055c,2021-09-24_06-41-55,1632454915,1515.5818901062012,348517,crimv3mgpu008,10.141.0.6,1515.5818901062012,0,36,"12_batch_size=512,bidirectional=True,dropout_lin=0.077186,dropout_lstm=0.74503,hidden_dim=16,learning_rate=0.031256,lstm_layers=2,lstm_output_dim=37,opt_step_size=18,weight_decay=9.5145e-05",0.03125642801698834,512,True,2,16,37,0.7450349051525171,0.07718556291737932,18,9.514526977283214e-05,"['main_y', 'percentage_y']",['main_y'],['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.L1Loss'>]","[0.75, 0.25]"
b4040_00013,10.787607192993164,0.5674105286598206,0.8385825157165527,0.8424191474914551,0.9560897946357727,0.8262601494789124,71.66314697265625,6726.6728515625,-3.091200590133667,38.570281982421875,True,,,7,88299773b893458a8c3ce68328365bca,2021-09-24_06-46-58,1632455218,293.6709997653961,348520,crimv3mgpu008,10.141.0.6,293.6709997653961,0,7,"13_batch_size=256,bidirectional=False,dropout_lin=0.7342,dropout_lstm=0.64699,hidden_dim=16,learning_rate=0.00010033,lstm_layers=2,lstm_output_dim=13,opt_step_size=1,weight_decay=7.357e-05",0.00010033401685219742,256,False,2,16,13,0.6469878545542004,0.7342007144913314,1,7.357041857450675e-05,"['main_y', 'percentage_y']",['main_y'],['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.L1Loss'>]","[0.75, 0.25]"
b4040_00014,6.843356609344482,0.6112807989120483,0.8526310324668884,0.8660949468612671,0.9423232674598694,0.8460857272148132,71.66314697265625,6726.6728515625,-3.091200590133667,51.96557140350342,True,,,50,ffb218b941fa4c4eaee6e07af0b37ee5,2021-09-24_07-30-32,1632457832,2607.147782564163,348518,crimv3mgpu008,10.141.0.6,2607.147782564163,0,50,"14_batch_size=256,bidirectional=False,dropout_lin=0.3283,dropout_lstm=0.12901,hidden_dim=64,learning_rate=0.00018657,lstm_layers=2,lstm_output_dim=44,opt_step_size=5,weight_decay=0.0054126",0.00018656652290449975,256,False,2,64,44,0.1290135193065749,0.3283017474864326,5,0.0054125815558431645,"['main_y', 'percentage_y']",['main_y'],['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.L1Loss'>]","[0.75, 0.25]"
b4040_00015,5.263826370239258,0.5987630486488342,0.8481642603874207,0.8626015782356262,0.9402322769165039,0.8412354588508606,71.66314697265625,6726.6728515625,-3.091200590133667,43.583831548690796,True,,,24,523fe7f7baca441f9cfa0ba891323ba5,2021-09-24_07-47-57,1632458877,1038.139600276947,348526,crimv3mgpu008,10.141.0.6,1038.139600276947,0,24,"15_batch_size=512,bidirectional=False,dropout_lin=0.48295,dropout_lstm=0.21025,hidden_dim=64,learning_rate=0.02912,lstm_layers=1,lstm_output_dim=123,opt_step_size=1,weight_decay=2.6141e-05",0.029119936110909354,512,False,1,64,123,0.21025000967603147,0.4829543733803904,1,2.614086453102019e-05,"['main_y', 'percentage_y']",['main_y'],['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.L1Loss'>]","[0.75, 0.25]"
b4040_00016,6.760708808898926,0.5583515167236328,0.8357975482940674,0.8369714021682739,0.9606106281280518,0.8215973377227783,71.69376373291016,6730.11572265625,-3.0957417488098145,99.46916007995605,True,,,6,ec3f14d489794812b6f82a331ea0388b,2021-09-24_07-58-07,1632459487,603.4429488182068,348512,crimv3mgpu008,10.141.0.6,603.4429488182068,0,6,"16_batch_size=128,bidirectional=False,dropout_lin=0.27344,dropout_lstm=0.6139,hidden_dim=128,learning_rate=0.032956,lstm_layers=1,lstm_output_dim=107,opt_step_size=3,weight_decay=0.00098691",0.03295570423937442,128,False,1,128,107,0.6138976321051276,0.2734373853677958,3,0.0009869134725237422,"['main_y', 'percentage_y']",['main_y'],['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.L1Loss'>]","[0.75, 0.25]"
b4040_00017,7.400035858154297,0.0,0.7232332825660706,0.7232332825660706,1.0,0.607075572013855,71.52286529541016,6709.5771484375,-3.0732240676879883,28.81019902229309,True,,,25,71b6fab2a7334c84a6db9330439440b4,2021-09-24_08-10-59,1632460259,765.1880080699921,348495,crimv3mgpu008,10.141.0.6,765.1880080699921,0,25,"17_batch_size=2048,bidirectional=False,dropout_lin=0.92401,dropout_lstm=0.083845,hidden_dim=64,learning_rate=0.016689,lstm_layers=2,lstm_output_dim=17,opt_step_size=18,weight_decay=4.213e-05",0.016688925606738805,2048,False,2,64,17,0.08384471175911046,0.9240105235282221,18,4.2130134259400884e-05,"['main_y', 'percentage_y']",['main_y'],['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.L1Loss'>]","[0.75, 0.25]"
b4040_00018,4.632861137390137,0.5709452033042908,0.8397736549377441,0.8434725403785706,0.9563677906990051,0.8276731967926025,71.66314697265625,6726.6728515625,-3.091200590133667,39.66985034942627,True,,,50,1e6514246d0b45458716b85edc80784c,2021-09-24_08-46-04,1632462364,2098.3935866355896,348511,crimv3mgpu008,10.141.0.6,2098.3935866355896,0,50,"18_batch_size=512,bidirectional=True,dropout_lin=0.61288,dropout_lstm=0.49633,hidden_dim=16,learning_rate=0.001654,lstm_layers=2,lstm_output_dim=48,opt_step_size=15,weight_decay=5.4266e-05",0.0016539826303190366,512,True,2,16,48,0.4963297351086613,0.6128828315502088,15,5.426567729184198e-05,"['main_y', 'percentage_y']",['main_y'],['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.L1Loss'>]","[0.75, 0.25]"
b4040_00019,11.525249481201172,0.0,0.7246444225311279,0.7246444225311279,1.0,0.6089481711387634,71.66314697265625,6726.6728515625,-3.091200590133667,34.54702639579773,True,,,50,bd5862a5ea864a30926383275d98acaa,2021-09-24_09-16-08,1632464168,1797.4856705665588,348509,crimv3mgpu008,10.141.0.6,1797.4856705665588,0,50,"19_batch_size=512,bidirectional=False,dropout_lin=0.91774,dropout_lstm=0.22095,hidden_dim=16,learning_rate=0.00031198,lstm_layers=2,lstm_output_dim=103,opt_step_size=18,weight_decay=6.0577e-05",0.00031197783581176654,512,False,2,16,103,0.22094532190960936,0.9177430837961332,18,6.057739105226768e-05,"['main_y', 'percentage_y']",['main_y'],['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.L1Loss'>]","[0.75, 0.25]"
b4040_00020,4.429690361022949,0.5927020907402039,0.8470279574394226,0.8539770841598511,0.9517045021057129,0.8375890851020813,71.68720245361328,6729.18310546875,-3.0951895713806152,290.8067955970764,True,,,25,2cb5b5ca75b64b1b9bd110679ae712f8,2021-09-24_11-17-42,1632471462,7286.818723917007,348534,crimv3mgpu008,10.141.0.6,7286.818723917007,0,25,"20_batch_size=32,bidirectional=True,dropout_lin=0.38979,dropout_lstm=0.67521,hidden_dim=16,learning_rate=0.00045431,lstm_layers=2,lstm_output_dim=87,opt_step_size=9,weight_decay=0.00052304",0.00045430937890503817,32,True,2,16,87,0.6752114845139562,0.3897850208937974,9,0.0005230377588909284,"['main_y', 'percentage_y']",['main_y'],['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.L1Loss'>]","[0.75, 0.25]"
