,main_y_loss,percentage_y_loss,loss,acc_main_y,prec_main_y,rec_main_y,f1_main_y,mcc_main_y,MAE_percentage_y,MSE_percentage_y,r2_percentage_y,heads,win,featset,exp_name
0,0.3016938865184784,19.357908248901367,0.9035603404045105,0.8943847417831421,0.9089611768722534,0.954655647277832,0.8913911581039429,0.7080820798873901,73.8796157836914,6840.26708984375,-3.800633192062378,twoheads,40min_centered,tsfresh,exp_twoheads_tsfresh_40min_centered_n20
1,0.28264233469963074,19.606603622436523,0.8929660320281982,0.892626941204071,0.9031909704208374,0.9595432877540588,0.8887320160865784,0.7015395164489746,73.8796157836914,6840.26708984375,-3.800633192062378,twoheads,40min_centered,tsfresh,exp_twoheads_tsfresh_40min_centered_n20
2,0.2808549106121063,21.830272674560547,0.9614657759666443,0.8935546875,0.9028002023696899,0.961446225643158,0.8895081877708435,0.7039309144020081,73.8796157836914,6840.26708984375,-3.800633192062378,twoheads,40min_centered,tsfresh,exp_twoheads_tsfresh_40min_centered_n20
3,0.28023064136505127,22.15500259399414,0.9711182117462158,0.8938964605331421,0.9037110805511475,0.9607554078102112,0.8899953365325928,0.7050972580909729,73.8796157836914,6840.26708984375,-3.800633192062378,twoheads,40min_centered,tsfresh,exp_twoheads_tsfresh_40min_centered_n20
4,0.27414870262145996,19.330503463745117,0.8760197162628174,0.8960742354393005,0.9019195437431335,0.9663860201835632,0.8916544914245605,0.7106702923774719,73.8796157836914,6840.26708984375,-3.800633192062378,twoheads,40min_centered,tsfresh,exp_twoheads_tsfresh_40min_centered_n20
5,0.2767331898212433,19.375770568847656,0.8799519538879395,0.8945214748382568,0.9000133275985718,0.9666075706481934,0.889847993850708,0.7060021758079529,73.8796157836914,6840.26708984375,-3.800633192062378,twoheads,40min_centered,tsfresh,exp_twoheads_tsfresh_40min_centered_n20
6,0.28159859776496887,21.00359535217285,0.9360772967338562,0.8920019268989563,0.8988835215568542,0.9643397331237793,0.8873067498207092,0.6987577080726624,73.8796157836914,6840.26708984375,-3.800633192062378,twoheads,40min_centered,tsfresh,exp_twoheads_tsfresh_40min_centered_n20
7,0.28345969319343567,19.747465133666992,0.8982056379318237,0.8925683498382568,0.9111953377723694,0.9491162896156311,0.8901019096374512,0.7043859362602234,73.8796157836914,6840.26708984375,-3.800633192062378,twoheads,40min_centered,tsfresh,exp_twoheads_tsfresh_40min_centered_n20
8,0.27700182795524597,73.16948699951172,2.5792200565338135,0.8936132788658142,0.9088819622993469,0.9536129236221313,0.8906689882278442,0.706065833568573,73.87958526611328,6840.26708984375,-3.800633192062378,twoheads,40min_centered,tsfresh,exp_twoheads_tsfresh_40min_centered_n20
9,0.2719651758670807,19.091001510620117,0.8663408160209656,0.8962206840515137,0.8991798758506775,0.9702830910682678,0.8912424445152283,0.7107223868370056,73.8796157836914,6840.26708984375,-3.800633192062378,twoheads,40min_centered,tsfresh,exp_twoheads_tsfresh_40min_centered_n20
10,0.26749086380004883,20.33388328552246,0.9012629985809326,0.8981152176856995,0.9017782211303711,0.9696314334869385,0.8935099840164185,0.7164047956466675,73.8796157836914,6840.26708984375,-3.800633192062378,twoheads,40min_centered,tsfresh,exp_twoheads_tsfresh_40min_centered_n20
11,0.27013617753982544,19.21109390258789,0.8683620691299438,0.8988085985183716,0.9020477533340454,0.9703091382980347,0.8942034840583801,0.7184100151062012,73.8796157836914,6840.26708984375,-3.800633192062378,twoheads,40min_centered,tsfresh,exp_twoheads_tsfresh_40min_centered_n20
12,0.28045523166656494,21.0592041015625,0.9367266297340393,0.8910839557647705,0.8984480500221252,0.9635446667671204,0.8863769769668579,0.69612056016922,73.8796157836914,6840.26708984375,-3.800633192062378,twoheads,40min_centered,tsfresh,exp_twoheads_tsfresh_40min_centered_n20
13,0.27447646856307983,19.063947677612305,0.8679183721542358,0.8974804878234863,0.9003216028213501,0.9706349968910217,0.8926355242729187,0.7144454121589661,73.8796157836914,6840.26708984375,-3.800633192062378,twoheads,40min_centered,tsfresh,exp_twoheads_tsfresh_40min_centered_n20
14,0.28446492552757263,21.34050941467285,0.9494935870170593,0.8897265791893005,0.8990826606750488,0.960651159286499,0.8852677345275879,0.6925547122955322,73.8796157836914,6840.26708984375,-3.800633192062378,twoheads,40min_centered,tsfresh,exp_twoheads_tsfresh_40min_centered_n20
