trial_id,loss,mcc_main_y,acc_main_y,prec_main_y,rec_main_y,f1_main_y,mcc_all_awake,acc_all_awake,prec_all_awake,rec_all_awake,f1_all_awake,mcc_all_sleep,acc_all_sleep,prec_all_sleep,rec_all_sleep,f1_all_sleep,mcc_is_transition,acc_is_transition,prec_is_transition,rec_is_transition,f1_is_transition,MAE_percentage_y,MSE_percentage_y,r2_percentage_y,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.learning_rate,config.batch_size,config.bidirectional,config.lstm_layers,config.hidden_dim,config.lstm_output_dim,config.dropout_lstm,config.dropout_lin,config.opt_step_size,config.labels,config.classification_tasks,config.regression_tasks,config.loss_fnct,config.main_weight,config.cnn_layers,config.cnn_kernel_size
2d721_00000,0.37972763180732727,0.548700213432312,0.8311147093772888,0.8465041518211365,0.9368842244148254,0.8215768337249756,0.4686623215675354,0.8583065867424011,0.6905394196510315,0.42865216732025146,0.8446635007858276,0.55452960729599,0.7910479307174683,0.7777710556983948,0.9199811220169067,0.7824183702468872,0.0,0.7949986457824707,0.0,0.0,0.704204261302948,0.2770126163959503,0.10760566592216492,0.34525492787361145,1493.2944869995117,True,,,15,c08da7c4826f4a53a0c945f213cb10a2,2021-11-05_20-39-54,1636133994,23279.62860774994,111773,crimv3mgpu025,10.141.0.24,23279.62860774994,0,15,"0_batch_size=16,bidirectional=False,cnn_kernel_size=2,cnn_layers=2,dropout_lin=0.57322,dropout_lstm=0.2011,hidden_dim=128,learning_rate=0.00047687,lstm_layers=2,lstm_output_dim=66,main_weight=0.41789,opt_step_size=1",0.00047687430135400855,16,False,2,128,66,0.20110126610601142,0.573215653143228,1,"['main_y', 'all_awake', 'all_sleep', 'is_transition', 'percentage_y']","['main_y', 'all_awake', 'all_sleep', 'is_transition']",['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.MSELoss'>]",0.4178912250658794,2,2
2d721_00001,0.4719817340373993,0.0,0.7248293161392212,0.7248293161392212,1.0,0.6091936826705933,0.45559027791023254,0.8543907999992371,0.6687818169593811,0.42686256766319275,0.8411976099014282,0.5166316628456116,0.7731559872627258,0.7558514475822449,0.9272816181182861,0.760327160358429,0.0,0.7949986457824707,0.0,0.0,0.704204261302948,0.3355734050273895,0.14795559644699097,0.09973882138729095,338.1282856464386,True,,,8,09750ddb4bed4e6aa09e30ab6c7d46c6,2021-11-05_21-27-43,1636136863,2863.7763085365295,111769,crimv3mgpu025,10.141.0.24,2863.7763085365295,0,8,"1_batch_size=64,bidirectional=True,cnn_kernel_size=4,cnn_layers=2,dropout_lin=0.76305,dropout_lstm=0.97542,hidden_dim=16,learning_rate=0.0073815,lstm_layers=1,lstm_output_dim=127,main_weight=0.65456,opt_step_size=19",0.007381534505255492,64,True,1,16,127,0.9754205828072051,0.7630450408710022,19,"['main_y', 'all_awake', 'all_sleep', 'is_transition', 'percentage_y']","['main_y', 'all_awake', 'all_sleep', 'is_transition']",['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.MSELoss'>]",0.6545644287835566,2,4
2d721_00002,0.40959057211875916,0.5920189023017883,0.8381595611572266,0.8856807351112366,0.8918325901031494,0.8376925587654114,0.4562431573867798,0.8540936708450317,0.6645170450210571,0.4319016635417938,0.8414142727851868,0.5521509647369385,0.7906982898712158,0.7869725823402405,0.9002309441566467,0.7844885587692261,0.0,0.7949986457824707,0.0,0.0,0.704204261302948,0.26593151688575745,0.09929598122835159,0.3958165943622589,1092.0239675045013,True,,,9,fd064d8831484a83b066d0bf8c79ca3b,2021-11-06_00-19-18,1636147158,10289.745732545853,111770,crimv3mgpu025,10.141.0.24,10289.745732545853,0,9,"2_batch_size=16,bidirectional=True,cnn_kernel_size=8,cnn_layers=3,dropout_lin=0.33697,dropout_lstm=0.30652,hidden_dim=16,learning_rate=0.011917,lstm_layers=1,lstm_output_dim=27,main_weight=0.85132,opt_step_size=18",0.011916545427905446,16,True,1,16,27,0.3065182464565599,0.33696681625466274,18,"['main_y', 'all_awake', 'all_sleep', 'is_transition', 'percentage_y']","['main_y', 'all_awake', 'all_sleep', 'is_transition']",['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.MSELoss'>]",0.8513167803701802,3,8
2d721_00003,0.38835087418556213,0.5555954575538635,0.8333959579467773,0.8489182591438293,0.9368842244148254,0.8243339657783508,0.4325000047683716,0.8528262376785278,0.6967418193817139,0.36658188700675964,0.8337474465370178,0.5468828678131104,0.7883121371269226,0.7844088077545166,0.8999871015548706,0.7818289995193481,0.0,0.7949986457824707,0.0,0.0,0.704204261302948,0.23839300870895386,0.0976654514670372,0.40573781728744507,89.34858345985413,True,,,11,673b7a3843974cf99735069f0a19cb93,2021-11-06_00-35-59,1636148159,992.5247085094452,111739,crimv3mgpu025,10.141.0.24,992.5247085094452,0,11,"3_batch_size=512,bidirectional=True,cnn_kernel_size=4,cnn_layers=1,dropout_lin=0.2621,dropout_lstm=0.85427,hidden_dim=32,learning_rate=9.4584e-05,lstm_layers=2,lstm_output_dim=40,main_weight=0.72759,opt_step_size=11",9.458381817093523e-05,512,True,2,32,40,0.8542664171288227,0.26210443823166274,11,"['main_y', 'all_awake', 'all_sleep', 'is_transition', 'percentage_y']","['main_y', 'all_awake', 'all_sleep', 'is_transition']",['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.MSELoss'>]",0.7275938714187066,1,4
2d721_00004,0.3847709000110626,0.5567169785499573,0.8289906978607178,0.8652999401092529,0.9049404859542847,0.8254151344299316,0.47055935859680176,0.842538595199585,0.5791804194450378,0.554440975189209,0.8412017822265625,0.5458588004112244,0.7868699431419373,0.7719382643699646,0.9229357242584229,0.7771748900413513,0.0,0.7949987053871155,0.0,0.0,0.704204261302948,0.29002296924591064,0.11134897917509079,0.3224780559539795,209.97982048988342,True,,,30,856a7ed0de884f78b9a4b4a531b2658b,2021-11-06_02-24-57,1636154697,6530.666719675064,111762,crimv3mgpu025,10.141.0.24,6530.666719675064,0,30,"4_batch_size=128,bidirectional=True,cnn_kernel_size=2,cnn_layers=3,dropout_lin=0.43644,dropout_lstm=0.92517,hidden_dim=16,learning_rate=3.1071e-06,lstm_layers=1,lstm_output_dim=188,main_weight=0.53468,opt_step_size=7",3.1070794203065185e-06,128,True,1,16,188,0.9251686605938897,0.43644025349693505,7,"['main_y', 'all_awake', 'all_sleep', 'is_transition', 'percentage_y']","['main_y', 'all_awake', 'all_sleep', 'is_transition']",['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.MSELoss'>]",0.5346806884533584,3,2
2d721_00005,0.3843596577644348,0.0,0.7248293161392212,0.7248293161392212,1.0,0.6091936826705933,0.2608723044395447,0.8303367495536804,0.854255735874176,0.10351323336362839,0.7715636491775513,0.5151503086090088,0.7696335315704346,0.7433364987373352,0.9500007033348083,0.7517915964126587,0.0,0.7949987053871155,0.0,0.0,0.704204261302948,0.2899968922138214,0.11654691398143768,0.29085037112236023,109.42492985725403,True,,,6,6b17d345cb4140289599c583c93c0afc,2021-11-06_02-36-47,1636155407,704.3868298530579,111760,crimv3mgpu025,10.141.0.24,704.3868298530579,0,6,"5_batch_size=2048,bidirectional=False,cnn_kernel_size=8,cnn_layers=3,dropout_lin=0.68215,dropout_lstm=0.21029,hidden_dim=64,learning_rate=0.0017843,lstm_layers=1,lstm_output_dim=158,main_weight=0.20977,opt_step_size=12",0.0017843438567338064,2048,False,1,64,158,0.21029317904665623,0.6821505803687148,12,"['main_y', 'all_awake', 'all_sleep', 'is_transition', 'percentage_y']","['main_y', 'all_awake', 'all_sleep', 'is_transition']",['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.MSELoss'>]",0.20976998082370268,3,8
2d721_00006,0.3491929769515991,0.5505224466323853,0.8329589366912842,0.8383310437202454,0.9534047842025757,0.8198915123939514,0.47193989157676697,0.8620126247406006,0.7453824877738953,0.38961100578308105,0.8439448475837708,0.5732957124710083,0.7993077635765076,0.7838205099105835,0.9260911345481873,0.7911049723625183,0.16780075430870056,0.8025941848754883,0.7461756467819214,0.05615247040987015,0.7282217741012573,0.2525900900363922,0.09926164150238037,0.39602556824684143,42.947102069854736,True,,,30,1d7aa22a6ffa421bbc0f0bdb654346c1,2021-11-06_02-58-57,1636156737,1324.5237369537354,111746,crimv3mgpu025,10.141.0.24,1324.5237369537354,0,30,"6_batch_size=512,bidirectional=False,cnn_kernel_size=10,cnn_layers=0,dropout_lin=0.55825,dropout_lstm=0.20357,hidden_dim=8,learning_rate=0.00035814,lstm_layers=1,lstm_output_dim=140,main_weight=0.22985,opt_step_size=9",0.0003581381060819521,512,False,1,8,140,0.20356667488504998,0.5582488859493273,9,"['main_y', 'all_awake', 'all_sleep', 'is_transition', 'percentage_y']","['main_y', 'all_awake', 'all_sleep', 'is_transition']",['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.MSELoss'>]",0.2298514944085588,0,10
2d721_00007,0.4274393618106842,0.49138695001602173,0.8133625984191895,0.8050876259803772,0.9796929955482483,0.7851781845092773,0.0,0.81440269947052,0.0,0.0,0.7310965657234192,0.5300565361976624,0.7767395973205566,0.7507492303848267,0.9485664367675781,0.760852575302124,0.0,0.7949986457824707,0.0,0.0,0.704204261302948,0.2875033915042877,0.11220252513885498,0.3172845244407654,599.2661912441254,True,,,6,670cb4dc3ca746b3a74c4af3775876f9,2021-11-06_03-58-06,1636160286,3540.9536974430084,111753,crimv3mgpu025,10.141.0.24,3540.9536974430084,0,6,"7_batch_size=32,bidirectional=True,cnn_kernel_size=7,cnn_layers=0,dropout_lin=0.74871,dropout_lstm=0.1557,hidden_dim=64,learning_rate=0.0040362,lstm_layers=1,lstm_output_dim=234,main_weight=0.91141,opt_step_size=2",0.00403615211480981,32,True,1,64,234,0.15569536083578017,0.7487050012822439,2,"['main_y', 'all_awake', 'all_sleep', 'is_transition', 'percentage_y']","['main_y', 'all_awake', 'all_sleep', 'is_transition']",['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.MSELoss'>]",0.9114080222341254,0,7
2d721_00008,0.47858837246894836,0.0,0.7248293161392212,0.7248293161392212,1.0,0.6091936826705933,0.0,0.81440269947052,0.0,0.0,0.7310965657234192,0.0,0.6094013452529907,0.6094013452529907,1.0,0.4615008234977722,0.0,0.7949986457824707,0.0,0.0,0.704204261302948,0.3462631404399872,0.1601296216249466,0.025663908571004868,253.18282961845398,True,,,14,bdb9f44be29d4d488d6aa69480c2c539,2021-11-06_05-01-20,1636164080,3786.5262310504913,111765,crimv3mgpu025,10.141.0.24,3786.5262310504913,0,14,"8_batch_size=64,bidirectional=True,cnn_kernel_size=10,cnn_layers=0,dropout_lin=0.94039,dropout_lstm=0.80401,hidden_dim=8,learning_rate=0.0028852,lstm_layers=1,lstm_output_dim=135,main_weight=0.38749,opt_step_size=3",0.002885151025757472,64,True,1,8,135,0.8040129150783678,0.9403858230226788,3,"['main_y', 'all_awake', 'all_sleep', 'is_transition', 'percentage_y']","['main_y', 'all_awake', 'all_sleep', 'is_transition']",['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.MSELoss'>]",0.38748921147223137,0,10
2d721_00009,0.4063927233219147,0.5248585343360901,0.824314534664154,0.817336916923523,0.9756653308868408,0.8019837737083435,0.0,0.8144027590751648,0.0,0.0,0.7310965657234192,0.0,0.6094013452529907,0.6094013452529907,1.0,0.4615008234977722,0.0,0.7949986457824707,0.0,0.0,0.7042043209075928,0.28640016913414,0.11740227788686752,0.2856456935405731,55.11085343360901,True,,,30,c6fc7d3318424a73a80742dca188ab0a,2021-11-06_05-28-53,1636165733,1647.4844908714294,111736,crimv3mgpu025,10.141.0.24,1647.4844908714294,0,30,"9_batch_size=1024,bidirectional=False,cnn_kernel_size=10,cnn_layers=0,dropout_lin=0.78275,dropout_lstm=0.63232,hidden_dim=64,learning_rate=6.8884e-05,lstm_layers=2,lstm_output_dim=87,main_weight=0.43071,opt_step_size=7",6.888382124092189e-05,1024,False,2,64,87,0.6323207870442138,0.7827504093128066,7,"['main_y', 'all_awake', 'all_sleep', 'is_transition', 'percentage_y']","['main_y', 'all_awake', 'all_sleep', 'is_transition']",['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.MSELoss'>]",0.43070996786677596,0,10
