,main_y_loss,loss,acc_main_y,prec_main_y,rec_main_y,f1_main_y,mcc_main_y,heads,win,featset,exp_name
0,0.3025546371936798,0.3025546371936798,0.8836508393287659,0.9021585583686829,0.9444390535354614,0.8809067606925964,0.6901004314422607,onehead,20min_notcentered,tsfresh,exp_onehead_tsfresh_20min_notcentered_n20
1,0.29460281133651733,0.29460281133651733,0.8841502666473389,0.8983170986175537,0.9502518773078918,0.8806877732276917,0.6898689270019531,onehead,20min_notcentered,tsfresh,exp_onehead_tsfresh_20min_notcentered_n20
2,0.29373136162757874,0.29373136162757874,0.884444534778595,0.8898084163665771,0.9622529745101929,0.879288911819458,0.6884904503822327,onehead,20min_notcentered,tsfresh,exp_onehead_tsfresh_20min_notcentered_n20
3,0.2955213487148285,0.2955213487148285,0.883356511592865,0.8984599709510803,0.9488471150398254,0.8799890875816345,0.687930166721344,onehead,20min_notcentered,tsfresh,exp_onehead_tsfresh_20min_notcentered_n20
4,0.29580503702163696,0.29580503702163696,0.8832495212554932,0.899527370929718,0.9472728371620178,0.8800829648971558,0.6880618929862976,onehead,20min_notcentered,tsfresh,exp_onehead_tsfresh_20min_notcentered_n20
5,0.29365918040275574,0.29365918040275574,0.8856931328773499,0.9023056626319885,0.9473575949668884,0.8827993273735046,0.6951555609703064,onehead,20min_notcentered,tsfresh,exp_onehead_tsfresh_20min_notcentered_n20
6,0.3003941476345062,0.3003941476345062,0.8852382898330688,0.9000964164733887,0.949561595916748,0.882000744342804,0.6932157278060913,onehead,20min_notcentered,tsfresh,exp_onehead_tsfresh_20min_notcentered_n20
7,0.29364463686943054,0.29364463686943054,0.8848280310630798,0.8940604329109192,0.9570093154907227,0.8805036544799805,0.6903582215309143,onehead,20min_notcentered,tsfresh,exp_onehead_tsfresh_20min_notcentered_n20
8,0.29234224557876587,0.29234224557876587,0.8853899240493774,0.8963764905929565,0.9547446966171265,0.8814617395401001,0.6924242973327637,onehead,20min_notcentered,tsfresh,exp_onehead_tsfresh_20min_notcentered_n20
9,0.29323822259902954,0.29323822259902954,0.8853453397750854,0.8991572856903076,0.9509663581848145,0.8819316625595093,0.693162202835083,onehead,20min_notcentered,tsfresh,exp_onehead_tsfresh_20min_notcentered_n20
10,0.30365172028541565,0.30365172028541565,0.8831068277359009,0.8892562389373779,0.9609450697898865,0.8779528737068176,0.6847689151763916,onehead,20min_notcentered,tsfresh,exp_onehead_tsfresh_20min_notcentered_n20
11,0.2955324053764343,0.2955324053764343,0.8839272856712341,0.8934757113456726,0.9564158916473389,0.8795664310455322,0.6878524422645569,onehead,20min_notcentered,tsfresh,exp_onehead_tsfresh_20min_notcentered_n20
12,0.3024469017982483,0.3024469017982483,0.8837489485740662,0.8973907828330994,0.9508695006370544,0.8801516890525818,0.688543438911438,onehead,20min_notcentered,tsfresh,exp_onehead_tsfresh_20min_notcentered_n20
13,0.2960447072982788,0.2960447072982788,0.8829730153083801,0.8951098918914795,0.9527344703674316,0.8790147304534912,0.6858376860618591,onehead,20min_notcentered,tsfresh,exp_onehead_tsfresh_20min_notcentered_n20
14,0.2950740158557892,0.2950740158557892,0.8843643069267273,0.8930281400680542,0.9576995968818665,0.8798763155937195,0.6888934969902039,onehead,20min_notcentered,tsfresh,exp_onehead_tsfresh_20min_notcentered_n20
