trial_id,loss,mcc_main_y,acc_main_y,prec_main_y,rec_main_y,f1_main_y,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.learning_rate,config.batch_size,config.bidirectional,config.lstm_layers,config.hidden_dim,config.lstm_output_dim,config.dropout_lstm,config.dropout_lin,config.opt_step_size,config.labels,config.classification_tasks,config.regression_tasks,config.loss_fnct,config.main_weight,config.cnn_layers,config.cnn_kernel_size
83c1c_00000,0.35902610421180725,0.5452527403831482,0.8462736010551453,0.8514662981033325,0.9647131562232971,0.8312369585037231,95.00503706932068,True,,,17,f887ee6de7524993a2d20813f39cc9f0,2021-11-01_03-26-44,1635726404,1661.8606741428375,353828,crimv3mgpu024,10.141.0.30,1661.8606741428375,0,17,"0_batch_size=1024,bidirectional=False,cnn_kernel_size=10,cnn_layers=1,dropout_lin=0.4765,dropout_lstm=0.78884,hidden_dim=128,learning_rate=0.0028461,lstm_layers=2,lstm_output_dim=87,opt_step_size=13",0.0028460991305879497,1024,False,2,128,87,0.7888447551236275,0.4765026271584929,13,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],1.0,1,10
83c1c_00001,0.6929790377616882,0.0,0.7551309466362,0.7551309466362,1.0,0.6497780084609985,124.87710523605347,True,,,30,64cf46c51ea54b16a8607737f5cfb8bd,2021-11-01_04-30-15,1635730215,3802.948089361191,353838,crimv3mgpu024,10.141.0.30,3802.948089361191,0,30,"1_batch_size=1024,bidirectional=True,cnn_kernel_size=5,cnn_layers=0,dropout_lin=0.7801,dropout_lstm=0.81785,hidden_dim=128,learning_rate=7.9248e-06,lstm_layers=2,lstm_output_dim=74,opt_step_size=8",7.92475232320675e-06,1024,True,2,128,74,0.8178526418086933,0.7801049025773238,8,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],1.0,0,5
83c1c_00002,0.5570932030677795,0.0,0.7551309466362,0.7551309466362,1.0,0.6497780084609985,92.01172232627869,True,,,9,43ac36e55c9848a285634f12344aa0d9,2021-11-01_04-45-00,1635731100,876.4954767227173,353827,crimv3mgpu024,10.141.0.30,876.4954767227173,0,9,"2_batch_size=256,bidirectional=True,cnn_kernel_size=2,cnn_layers=2,dropout_lin=0.99411,dropout_lstm=0.23519,hidden_dim=16,learning_rate=0.00013918,lstm_layers=1,lstm_output_dim=28,opt_step_size=2",0.0001391780883937052,256,True,1,16,28,0.23518652713464294,0.9941080699482638,2,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],1.0,2,2
83c1c_00003,0.44254153966903687,0.45081716775894165,0.8204243183135986,0.8203412890434265,0.9759250283241272,0.7910923957824707,89.52734017372131,True,,,30,762ecadd0a6b408daf68cf7b3db4a9b2,2021-11-01_05-30-41,1635733841,2735.9851446151733,353832,crimv3mgpu024,10.141.0.30,2735.9851446151733,0,30,"3_batch_size=1024,bidirectional=False,cnn_kernel_size=3,cnn_layers=3,dropout_lin=0.57328,dropout_lstm=0.7079,hidden_dim=32,learning_rate=0.00015402,lstm_layers=2,lstm_output_dim=13,opt_step_size=11",0.00015401546975707782,1024,False,2,32,13,0.7078991998864024,0.5732846083055566,11,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],1.0,3,3
83c1c_00004,0.49436646699905396,0.0,0.7551309466362,0.7551309466362,1.0,0.6497780084609985,52.18878149986267,True,,,30,6bf1112cc100403a90249dd677ce5bdd,2021-11-01_05-57-24,1635735444,1595.2216489315033,353826,crimv3mgpu024,10.141.0.30,1595.2216489315033,0,30,"4_batch_size=1024,bidirectional=True,cnn_kernel_size=4,cnn_layers=0,dropout_lin=0.14367,dropout_lstm=0.2308,hidden_dim=16,learning_rate=1.3102e-06,lstm_layers=1,lstm_output_dim=122,opt_step_size=5",1.3102269473148832e-06,1024,True,1,16,122,0.23079733084214482,0.14367180472599184,5,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],1.0,0,4
83c1c_00005,0.6596665978431702,0.0,0.7551309466362,0.7551309466362,1.0,0.6497780084609985,62.58345985412598,True,,,30,205ec15d18f74545bea847036c61601b,2021-11-01_06-29-04,1635737344,1891.0012924671173,353820,crimv3mgpu024,10.141.0.30,1891.0012924671173,0,30,"5_batch_size=512,bidirectional=False,cnn_kernel_size=5,cnn_layers=1,dropout_lin=0.93516,dropout_lstm=0.42838,hidden_dim=16,learning_rate=1.2656e-06,lstm_layers=1,lstm_output_dim=74,opt_step_size=4",1.2656255388037492e-06,512,False,1,16,74,0.4283764360699698,0.9351649143535564,4,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],1.0,1,5
83c1c_00006,0.445871502161026,0.0,0.7551309466362,0.7551309466362,1.0,0.6497780084609985,154.56480932235718,True,,,9,3c05f59225c442c595a783462ad2817e,2021-11-01_06-53-05,1635738785,1432.778713941574,353847,crimv3mgpu024,10.141.0.30,1432.778713941574,0,9,"6_batch_size=64,bidirectional=True,cnn_kernel_size=10,cnn_layers=0,dropout_lin=0.42192,dropout_lstm=0.3001,hidden_dim=32,learning_rate=0.014739,lstm_layers=2,lstm_output_dim=16,opt_step_size=18",0.014739076024292495,64,True,2,32,16,0.30010423695745536,0.42192303573481116,18,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],1.0,0,10
83c1c_00007,0.5250239372253418,0.0,0.7551309466362,0.7551309466362,1.0,0.6497780084609985,150.15858435630798,True,,,23,b34847fa31654b649e8dff2779ddb7b6,2021-11-01_07-53-13,1635742393,3602.7832074165344,353840,crimv3mgpu024,10.141.0.30,3602.7832074165344,0,23,"7_batch_size=1024,bidirectional=True,cnn_kernel_size=10,cnn_layers=1,dropout_lin=0.94173,dropout_lstm=0.66893,hidden_dim=128,learning_rate=0.00093847,lstm_layers=2,lstm_output_dim=34,opt_step_size=15",0.0009384681944126381,1024,True,2,128,34,0.6689296057101912,0.9417268642021617,15,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],1.0,1,10
83c1c_00008,0.3487122058868408,0.584174394607544,0.8553493618965149,0.8765266537666321,0.9409982562065125,0.8486630320549011,65.78716278076172,True,,,26,efc5e9f15fa44b038e71a8e3b6b07d26,2021-11-01_08-22-25,1635744145,1744.6172094345093,353844,crimv3mgpu024,10.141.0.30,1744.6172094345093,0,26,"8_batch_size=512,bidirectional=False,cnn_kernel_size=6,cnn_layers=1,dropout_lin=0.19515,dropout_lstm=0.093806,hidden_dim=32,learning_rate=8.2318e-05,lstm_layers=1,lstm_output_dim=148,opt_step_size=13",8.231844241483999e-05,512,False,1,32,148,0.0938055857950656,0.19515249928109013,13,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],1.0,1,6
83c1c_00009,0.3473255932331085,0.5860791206359863,0.856361985206604,0.8755441308021545,0.9439657330513,0.8492231369018555,58.385278940200806,True,,,30,82846d1acc514ced8259cc2271dd145f,2021-11-01_08-52-11,1635745931,1780.820286989212,353843,crimv3mgpu024,10.141.0.30,1780.820286989212,0,30,"9_batch_size=1024,bidirectional=False,cnn_kernel_size=6,cnn_layers=1,dropout_lin=0.13831,dropout_lstm=0.86591,hidden_dim=16,learning_rate=9.3972e-05,lstm_layers=1,lstm_output_dim=90,opt_step_size=15",9.397221602457055e-05,1024,False,1,16,90,0.8659135145460229,0.13830929733628894,15,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],1.0,1,6
