trial_id,loss,mcc_main_y,acc_main_y,prec_main_y,rec_main_y,f1_main_y,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.learning_rate,config.batch_size,config.bidirectional,config.lstm_layers,config.hidden_dim,config.lstm_output_dim,config.dropout_lstm,config.dropout_lin,config.opt_step_size,config.labels,config.classification_tasks,config.regression_tasks,config.loss_fnct,config.weights,config.cnn_layers,config.cnn_kernel_size,config.featset,config.data_path
4c428_00010,0.3821879029273987,0.5426430106163025,0.8340429663658142,0.867364227771759,0.9172642230987549,0.8287849426269531,90.96097612380981,True,,,6,e7014f56574843858d2b002965c711b1,2021-10-04_10-06-48,1633331208,580.814531326294,424063,crimv3srv041,10.141.0.35,580.814531326294,0,6,"10_batch_size=128,bidirectional=False,cnn_kernel_size=8,cnn_layers=1,dropout_lin=0.044036,dropout_lstm=0.4816,hidden_dim=8,learning_rate=0.030481,lstm_layers=1,lstm_output_dim=215,opt_step_size=10",0.030480754444567378,128,False,1,8,215,0.4816047972018904,0.044035597180290265,10,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0],1,8,tsfresh,40min_centered
4c428_00011,0.3259250521659851,0.6418004035949707,0.8699182271957397,0.887416422367096,0.9450724124908447,0.8651813864707947,927.7083060741425,True,,,20,eec2bd8de62448bfad21b55242fd6736,2021-10-04_15-20-21,1633350021,18806.666207790375,424048,crimv3srv041,10.141.0.35,18806.666207790375,0,20,"11_batch_size=16,bidirectional=True,cnn_kernel_size=10,cnn_layers=2,dropout_lin=0.22264,dropout_lstm=0.20983,hidden_dim=128,learning_rate=1.8179e-06,lstm_layers=1,lstm_output_dim=71,opt_step_size=8",1.8179189586286602e-06,16,True,1,128,71,0.20983462874994796,0.2226423523304124,8,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0],2,10,tsfresh,40min_centered
4c428_00012,0.34094926714897156,0.6266362071037292,0.8661866188049316,0.8737238645553589,0.9587192535400391,0.8582706451416016,910.0599579811096,True,,,11,912c42b7107741d08557fab4c6d57aa2,2021-10-04_18-02-47,1633359767,9738.485867261887,424032,crimv3srv041,10.141.0.35,9738.485867261887,0,11,"12_batch_size=16,bidirectional=False,cnn_kernel_size=3,cnn_layers=1,dropout_lin=0.50344,dropout_lstm=0.83491,hidden_dim=128,learning_rate=0.00078838,lstm_layers=2,lstm_output_dim=163,opt_step_size=8",0.0007883770440369718,16,False,2,128,163,0.8349145780946668,0.5034366280720523,8,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0],1,3,tsfresh,40min_centered
4c428_00013,0.7805525660514832,0.0,0.2561129033565521,0.0,0.0,0.10443937033414841,33.77911329269409,True,,,20,f3a877cba9e3489b88d07433fb926dd8,2021-10-04_18-14-58,1633360498,719.9145739078522,424055,crimv3srv041,10.141.0.35,719.9145739078522,0,20,"13_batch_size=2048,bidirectional=False,cnn_kernel_size=8,cnn_layers=1,dropout_lin=0.88829,dropout_lstm=0.24767,hidden_dim=8,learning_rate=1.0916e-06,lstm_layers=1,lstm_output_dim=140,opt_step_size=3",1.0915631663273031e-06,2048,False,1,8,140,0.24766806921287976,0.888288912707948,3,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0],1,8,tsfresh,40min_centered
4c428_00014,0.355109304189682,0.6084756255149841,0.8606786727905273,0.8628966808319092,0.9663259983062744,0.8499070405960083,195.86307621002197,True,,,17,6e3d394984b840dcb53cc6a6262319a7,2021-10-04_19-08-09,1633363689,3184.8271045684814,424049,crimv3srv041,10.141.0.35,3184.8271045684814,0,17,"14_batch_size=64,bidirectional=True,cnn_kernel_size=2,cnn_layers=2,dropout_lin=0.7758,dropout_lstm=0.80478,hidden_dim=32,learning_rate=0.00036739,lstm_layers=1,lstm_output_dim=168,opt_step_size=13",0.0003673921609766327,64,True,1,32,168,0.8047790118690086,0.7758033817763703,13,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0],2,2,tsfresh,40min_centered
4c428_00015,0.37753674387931824,0.6333847641944885,0.8628023862838745,0.8997055292129517,0.9178879261016846,0.86141437292099,71.74472832679749,True,,,7,10c962bf77af4099a9b4a5ff4965e716,2021-10-04_19-17-43,1633364263,565.0840539932251,424045,crimv3srv041,10.141.0.35,565.0840539932251,0,7,"15_batch_size=2048,bidirectional=True,cnn_kernel_size=2,cnn_layers=2,dropout_lin=0.23842,dropout_lstm=0.90389,hidden_dim=64,learning_rate=0.0043395,lstm_layers=1,lstm_output_dim=155,opt_step_size=13",0.004339525441585463,2048,True,1,64,155,0.9038921820730098,0.2384163289244723,13,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0],2,2,tsfresh,40min_centered
4c428_00016,0.43305841088294983,0.5176780223846436,0.81201171875,0.8824107050895691,0.8621830344200134,0.8139501810073853,87.13578295707703,True,,,20,4f569ce7d2d14a988ea2a83a61041983,2021-10-04_19-46-59,1633366019,1748.6438524723053,424038,crimv3srv041,10.141.0.35,1748.6438524723053,0,20,"16_batch_size=2048,bidirectional=False,cnn_kernel_size=10,cnn_layers=3,dropout_lin=0.14322,dropout_lstm=0.83575,hidden_dim=32,learning_rate=1.4018e-05,lstm_layers=2,lstm_output_dim=19,opt_step_size=9",1.4017786240568312e-05,2048,False,2,32,19,0.8357516734245325,0.14321911739887605,9,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0],3,10,tsfresh,40min_centered
4c428_00017,0.39602819085121155,0.0,0.7438870668411255,0.7438870668411255,1.0,0.6346374154090881,105.84517121315002,True,,,20,945705608ccf4ed7a15ddc841a9f180d,2021-10-04_20-23-58,1633368238,2212.056909561157,424050,crimv3srv041,10.141.0.35,2212.056909561157,0,20,"17_batch_size=1024,bidirectional=True,cnn_kernel_size=2,cnn_layers=3,dropout_lin=0.54392,dropout_lstm=0.042307,hidden_dim=64,learning_rate=1.503e-05,lstm_layers=2,lstm_output_dim=112,opt_step_size=8",1.503023150248412e-05,1024,True,2,64,112,0.042307394728941294,0.5439243772841396,8,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0],3,2,tsfresh,40min_centered
4c428_00018,0.3387247920036316,0.6194632053375244,0.861985445022583,0.8821592330932617,0.9400411248207092,0.8569092154502869,66.47397708892822,True,,,20,8cdc473085fb40458b676c126f3bebb6,2021-10-04_20-47-21,1633369641,1396.2753465175629,424043,crimv3srv041,10.141.0.35,1396.2753465175629,0,20,"18_batch_size=512,bidirectional=False,cnn_kernel_size=8,cnn_layers=1,dropout_lin=0.25104,dropout_lstm=0.56234,hidden_dim=64,learning_rate=9.4317e-06,lstm_layers=2,lstm_output_dim=237,opt_step_size=1",9.431712216079693e-06,512,False,2,64,237,0.562340846951899,0.2510395536044554,1,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0],1,8,tsfresh,40min_centered
4c428_00019,0.32724273204803467,0.6471847891807556,0.8730967044830322,0.8784989714622498,0.9625751376152039,0.8657405972480774,310.12674736976624,True,,,11,da72227b807f4d8a9e472252b691468b,2021-10-04_21-45-25,1633373125,3477.033465862274,424044,crimv3srv041,10.141.0.35,3477.033465862274,0,11,"19_batch_size=32,bidirectional=False,cnn_kernel_size=4,cnn_layers=3,dropout_lin=0.41922,dropout_lstm=0.34154,hidden_dim=32,learning_rate=8.1973e-05,lstm_layers=2,lstm_output_dim=253,opt_step_size=2",8.197276420193634e-05,32,False,2,32,253,0.341539854982821,0.41921991418664317,2,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0],3,4,tsfresh,40min_centered
4c428_00020,0.5694047212600708,0.0,0.7438870668411255,0.7438870668411255,1.0,0.6346374154090881,195.3848078250885,True,,,10,4d2eb672822f4c049e2d9237fe1ac6cb,2021-10-04_22-17-24,1633375044,1910.5784635543823,424046,crimv3srv041,10.141.0.35,1910.5784635543823,0,10,"20_batch_size=256,bidirectional=True,cnn_kernel_size=10,cnn_layers=2,dropout_lin=0.24343,dropout_lstm=0.46832,hidden_dim=128,learning_rate=0.070586,lstm_layers=1,lstm_output_dim=221,opt_step_size=5",0.0705859112128962,256,True,1,128,221,0.46831888337978733,0.2434307457307251,5,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0],2,10,tsfresh,40min_centered
4c428_00021,0.5699183940887451,0.0,0.7440650463104248,0.7440650463104248,1.0,0.6348763108253479,311.42811942100525,True,,,11,04a887f3ba3041e8843339ba524db9ca,2021-10-04_23-14-54,1633378494,3444.320119380951,424035,crimv3srv041,10.141.0.35,3444.320119380951,0,11,"21_batch_size=32,bidirectional=True,cnn_kernel_size=3,cnn_layers=2,dropout_lin=0.26812,dropout_lstm=0.61633,hidden_dim=8,learning_rate=0.0067204,lstm_layers=2,lstm_output_dim=183,opt_step_size=3",0.0067204307788625494,32,True,2,8,183,0.6163317293668693,0.2681178255077793,3,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0],2,3,tsfresh,40min_centered
4c428_00022,0.34231406450271606,0.6358518004417419,0.8678836822509766,0.8857355713844299,0.9442533254623413,0.8629780411720276,1024.3750357627869,True,,,6,618a48322339420eb564a3bc09c6bc4f,2021-10-05_00-57-23,1633384643,6141.994079113007,424036,crimv3srv041,10.141.0.35,6141.994079113007,0,6,"22_batch_size=16,bidirectional=True,cnn_kernel_size=3,cnn_layers=3,dropout_lin=0.52458,dropout_lstm=0.049718,hidden_dim=128,learning_rate=0.0003846,lstm_layers=1,lstm_output_dim=189,opt_step_size=8",0.00038459721709468997,16,True,1,128,189,0.049717649937916386,0.5245752168839097,8,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0],3,3,tsfresh,40min_centered
4c428_00023,0.34985464811325073,0.6395963430404663,0.8678721785545349,0.8927080035209656,0.9348070025444031,0.8645284175872803,158.34122562408447,True,,,7,08bc25706f3147c2b962d7e24b4ba303,2021-10-05_01-17-10,1633385830,1180.9635033607483,424041,crimv3srv041,10.141.0.35,1180.9635033607483,0,7,"23_batch_size=64,bidirectional=True,cnn_kernel_size=2,cnn_layers=2,dropout_lin=0.12943,dropout_lstm=0.27396,hidden_dim=8,learning_rate=0.0018917,lstm_layers=1,lstm_output_dim=209,opt_step_size=13",0.001891746110702114,64,True,1,8,209,0.2739592571187932,0.1294291575158254,13,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0],2,2,tsfresh,40min_centered
4c428_00024,0.39169251918792725,0.6386306285858154,0.8675349354743958,0.8918753266334534,0.9353201985359192,0.8640676140785217,80.95636534690857,True,,,7,ad789b9f601a48948e57f7a4795a4cd9,2021-10-05_01-27-50,1633386470,631.7132787704468,424034,crimv3srv041,10.141.0.35,631.7132787704468,0,7,"24_batch_size=2048,bidirectional=True,cnn_kernel_size=9,cnn_layers=2,dropout_lin=0.25063,dropout_lstm=0.10808,hidden_dim=64,learning_rate=0.011123,lstm_layers=1,lstm_output_dim=91,opt_step_size=1",0.011122650342100776,2048,True,1,64,91,0.1080848036688169,0.25063316457877893,1,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0],2,9,tsfresh,40min_centered
4c428_00025,0.7090293169021606,0.0,0.2561129033565521,0.0,0.0,0.10443937033414841,31.618414402008057,True,,,20,9ab2d3421417433ba8df95806a8a9396,2021-10-05_01-39-28,1633387168,691.1318807601929,424028,crimv3srv041,10.141.0.35,691.1318807601929,0,20,"25_batch_size=2048,bidirectional=False,cnn_kernel_size=6,cnn_layers=1,dropout_lin=0.98071,dropout_lstm=0.87301,hidden_dim=16,learning_rate=2.2897e-05,lstm_layers=1,lstm_output_dim=54,opt_step_size=1",2.2897425088789518e-05,2048,False,1,16,54,0.8730076489891593,0.9807100154693119,1,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0],1,6,tsfresh,40min_centered
4c428_00026,0.5699223279953003,0.0,0.7440650463104248,0.7440650463104248,1.0,0.6348763108253479,761.777990102768,True,,,8,d4a7e614bebf4433a79fe88bf7e11d9b,2021-10-05_03-22-20,1633393340,6165.4536690711975,424030,crimv3srv041,10.141.0.35,6165.4536690711975,0,8,"26_batch_size=16,bidirectional=True,cnn_kernel_size=2,cnn_layers=2,dropout_lin=0.088191,dropout_lstm=0.30419,hidden_dim=32,learning_rate=0.018842,lstm_layers=2,lstm_output_dim=158,opt_step_size=13",0.0188418141838199,16,True,2,32,158,0.30418656920310905,0.08819054867238807,13,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0],2,2,tsfresh,40min_centered
4c428_00027,0.3220188021659851,0.6521589159965515,0.8739498853683472,0.8874936699867249,0.9511712789535522,0.8687938451766968,668.2642273902893,True,,,14,b58f87ca40174a6e81c473489cb39155,2021-10-05_05-59-38,1633402778,9430.848590373993,424033,crimv3srv041,10.141.0.35,9430.848590373993,0,14,"27_batch_size=32,bidirectional=True,cnn_kernel_size=2,cnn_layers=1,dropout_lin=0.21939,dropout_lstm=0.81266,hidden_dim=128,learning_rate=0.00010563,lstm_layers=2,lstm_output_dim=187,opt_step_size=2",0.00010562887997223841,32,True,2,128,187,0.8126609649657659,0.21939056328105333,2,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0],1,2,tsfresh,40min_centered
4c428_00028,0.33094874024391174,0.6383727788925171,0.8699463605880737,0.8784733414649963,0.9576985836029053,0.8629412651062012,300.659303188324,True,,,9,23e6737a915a4b5eaf728dbdf9903439,2021-10-05_06-45-14,1633405514,2729.2048647403717,424023,crimv3srv041,10.141.0.35,2729.2048647403717,0,9,"28_batch_size=32,bidirectional=True,cnn_kernel_size=3,cnn_layers=2,dropout_lin=0.50124,dropout_lstm=0.22647,hidden_dim=32,learning_rate=0.00011795,lstm_layers=1,lstm_output_dim=76,opt_step_size=2",0.00011795116577472784,32,True,1,32,76,0.2264723435916327,0.5012406279537935,2,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0],2,3,tsfresh,40min_centered
