trial_id,loss,mcc_main_y,acc_main_y,prec_main_y,rec_main_y,f1_main_y,MAE_percentage_y,MSE_percentage_y,r2_percentage_y,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.learning_rate,config.batch_size,config.bidirectional,config.lstm_layers,config.hidden_dim,config.lstm_output_dim,config.dropout_lstm,config.dropout_lin,config.opt_step_size,config.labels,config.classification_tasks,config.regression_tasks,config.loss_fnct,config.main_weight,config.cnn_layers,config.cnn_kernel_size
2d6dc_00010,0.11616753041744232,0.5221771597862244,0.8217273354530334,0.8488204479217529,0.9190991520881653,0.814110517501831,0.2322961688041687,0.09486351162195206,0.422786682844162,118.33958911895752,True,,,13,b4200585653e41ada5ad4c3210d14a0f,2021-11-06_01-53-30,1636152810,1562.2652168273926,111712,crimv3mgpu025,10.141.0.24,1562.2652168273926,0,13,"10_batch_size=512,bidirectional=True,cnn_kernel_size=7,cnn_layers=3,dropout_lin=0.35816,dropout_lstm=0.17861,hidden_dim=16,learning_rate=3.6502e-05,lstm_layers=1,lstm_output_dim=17,main_weight=0.064603,opt_step_size=12",3.650152543737036e-05,512,True,1,16,17,0.17860945152447572,0.35816405005706065,12,"['main_y', 'percentage_y']",['main_y'],['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.MSELoss'>]",0.0646026939822213,3,7
2d6dc_00011,0.41807982325553894,0.0,0.728841245174408,0.728841245174408,1.0,0.6145267486572266,0.3722648024559021,0.16697517037391663,-0.015989059582352638,150.2977156639099,True,,,11,d246f8590b6c48ccbbf4d01d4e422768,2021-11-06_02-21-41,1636154501,1684.2723240852356,111730,crimv3mgpu025,10.141.0.24,1684.2723240852356,0,11,"11_batch_size=128,bidirectional=False,cnn_kernel_size=8,cnn_layers=2,dropout_lin=0.79093,dropout_lstm=0.70958,hidden_dim=16,learning_rate=0.079284,lstm_layers=1,lstm_output_dim=27,main_weight=0.60051,opt_step_size=5",0.07928363161912813,128,False,1,16,27,0.7095813375444069,0.7909336296960832,5,"['main_y', 'percentage_y']",['main_y'],['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.MSELoss'>]",0.6005095951929814,2,8
2d6dc_00012,0.24308831989765167,0.0,0.728841245174408,0.728841245174408,1.0,0.6145267486572266,0.3759363293647766,0.1680341511964798,-0.022432547062635422,266.19915199279785,True,,,12,4c0afa47144f4a1f8500365c0f03f8f8,2021-11-06_03-16-27,1636157787,3278.90220785141,111732,crimv3mgpu025,10.141.0.24,3278.90220785141,0,12,"12_batch_size=64,bidirectional=True,cnn_kernel_size=8,cnn_layers=2,dropout_lin=0.8656,dropout_lstm=0.9067,hidden_dim=16,learning_rate=0.042382,lstm_layers=1,lstm_output_dim=227,main_weight=0.17985,opt_step_size=11",0.04238182966196822,64,True,1,16,227,0.9066996479703608,0.8655971054225855,11,"['main_y', 'percentage_y']",['main_y'],['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.MSELoss'>]",0.17985496145972224,2,8
2d6dc_00013,0.15152408182621002,0.44606244564056396,0.8027428388595581,0.8005079627037048,0.9714460372924805,0.772560715675354,0.2780114412307739,0.11232855916023254,0.3165176212787628,176.94197034835815,True,,,8,2c076530dfc3473789d68dcb71e3ab0f,2021-11-06_03-39-21,1636159161,1366.6245200634003,111700,crimv3mgpu025,10.141.0.24,1366.6245200634003,0,8,"13_batch_size=1024,bidirectional=False,cnn_kernel_size=10,cnn_layers=3,dropout_lin=0.69755,dropout_lstm=0.32864,hidden_dim=128,learning_rate=0.00033391,lstm_layers=2,lstm_output_dim=79,main_weight=0.11715,opt_step_size=7",0.0003339116620786617,1024,False,2,128,79,0.32864200747641115,0.6975501408898293,7,"['main_y', 'percentage_y']",['main_y'],['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.MSELoss'>]",0.11715017364801683,3,10
2d6dc_00014,0.14579594135284424,0.5530980825424194,0.8341214656829834,0.8513035774230957,0.9358765482902527,0.8252664804458618,0.22141999006271362,0.08976798504590988,0.4537913501262665,114.33232831954956,True,,,30,c2cb7aecca0f43aea757a70d918cf7d7,2021-11-06_04-35-37,1636162537,3367.6920030117035,111695,crimv3mgpu025,10.141.0.24,3367.6920030117035,0,30,"14_batch_size=512,bidirectional=True,cnn_kernel_size=8,cnn_layers=2,dropout_lin=0.26415,dropout_lstm=0.79784,hidden_dim=64,learning_rate=1.4349e-05,lstm_layers=1,lstm_output_dim=113,main_weight=0.1747,opt_step_size=13",1.4348877688116666e-05,512,True,1,64,113,0.7978427379526525,0.26415342313360357,13,"['main_y', 'percentage_y']",['main_y'],['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.MSELoss'>]",0.17470260928468762,2,8
2d6dc_00015,0.20503096282482147,0.45610660314559937,0.8057145476341248,0.8040205836296082,0.9698270559310913,0.7775492072105408,0.2991151511669159,0.1230672150850296,0.25117647647857666,51.06451988220215,True,,,16,658e01b2a2f04367b2608fa35ab4fb84,2021-11-06_04-48-52,1636163332,787.6172389984131,111697,crimv3mgpu025,10.141.0.24,787.6172389984131,0,16,"15_batch_size=2048,bidirectional=True,cnn_kernel_size=9,cnn_layers=1,dropout_lin=0.63954,dropout_lstm=0.56837,hidden_dim=16,learning_rate=0.00017869,lstm_layers=2,lstm_output_dim=18,main_weight=0.25595,opt_step_size=16",0.0001786940982397123,2048,True,2,16,18,0.5683687840666868,0.6395438334169413,16,"['main_y', 'percentage_y']",['main_y'],['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.MSELoss'>]",0.25594989840936166,1,9
2d6dc_00016,0.5655313730239868,0.0,0.728841245174408,0.728841245174408,1.0,0.6145267486572266,0.35026007890701294,0.164419487118721,-0.0004385043866932392,349.0037450790405,True,,,6,9f4f51649f6248ceb79c8c38992fb95c,2021-11-06_05-23-32,1636165412,2075.5188353061676,111707,crimv3mgpu025,10.141.0.24,2075.5188353061676,0,6,"16_batch_size=32,bidirectional=False,cnn_kernel_size=7,cnn_layers=1,dropout_lin=0.9901,dropout_lstm=0.4059,hidden_dim=8,learning_rate=0.00031812,lstm_layers=1,lstm_output_dim=131,main_weight=0.95449,opt_step_size=7",0.00031811845025244616,32,False,1,8,131,0.40590251195383986,0.9900964073114242,7,"['main_y', 'percentage_y']",['main_y'],['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.MSELoss'>]",0.9544878820632439,1,7
2d6dc_00017,0.2377769649028778,0.5644494295120239,0.8389462232589722,0.8491120934486389,0.9473772644996643,0.8285199403762817,0.19670215249061584,0.08738425374031067,0.4682955741882324,139.8801736831665,True,,,14,3416a6e829d447dcb4acf8a6e572d9cf,2021-11-06_05-55-25,1636167325,1905.296335220337,111693,crimv3mgpu025,10.141.0.24,1905.296335220337,0,14,"17_batch_size=256,bidirectional=True,cnn_kernel_size=7,cnn_layers=2,dropout_lin=0.15891,dropout_lstm=0.76179,hidden_dim=64,learning_rate=0.0015233,lstm_layers=1,lstm_output_dim=48,main_weight=0.50524,opt_step_size=5",0.0015232784597911271,256,True,1,64,48,0.7617885874139908,0.15891061779751914,5,"['main_y', 'percentage_y']",['main_y'],['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.MSELoss'>]",0.5052353136973783,2,7
2d6dc_00018,0.2718077003955841,0.0,0.728841245174408,0.728841245174408,1.0,0.6145267486572266,0.3478912115097046,0.16458773612976074,-0.0014622840099036694,90.18269848823547,True,,,9,21e1518b8e8b483c98c397a513f35084,2021-11-06_06-09-22,1636168162,830.1671481132507,111705,crimv3mgpu025,10.141.0.24,830.1671481132507,0,9,"18_batch_size=128,bidirectional=True,cnn_kernel_size=5,cnn_layers=0,dropout_lin=0.99577,dropout_lstm=0.52265,hidden_dim=8,learning_rate=0.0015756,lstm_layers=1,lstm_output_dim=74,main_weight=0.25508,opt_step_size=12",0.0015755778445802175,128,True,1,8,74,0.5226530690090143,0.9957697040026361,12,"['main_y', 'percentage_y']",['main_y'],['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.MSELoss'>]",0.25507833766784593,0,5
2d6dc_00019,0.3531300127506256,0.45731320977211,0.8060729503631592,0.804433286190033,0.969659149646759,0.7781325578689575,0.2749902009963989,0.11524513363838196,0.29877129197120667,495.31474471092224,True,,,19,20cfc243d99d4449b9573dc1f8f065c5,2021-11-06_08-39-30,1636177170,9002.864920854568,111690,crimv3mgpu025,10.141.0.24,9002.864920854568,0,19,"19_batch_size=32,bidirectional=False,cnn_kernel_size=10,cnn_layers=3,dropout_lin=0.60273,dropout_lstm=0.62713,hidden_dim=16,learning_rate=1.5509e-05,lstm_layers=2,lstm_output_dim=187,main_weight=0.72229,opt_step_size=2",1.5509185238623208e-05,32,False,2,16,187,0.6271325411734984,0.6027299013117109,2,"['main_y', 'percentage_y']",['main_y'],['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.MSELoss'>]",0.7222880519577286,3,10
