trial_id,loss,mcc_main_y,acc_main_y,prec_main_y,rec_main_y,f1_main_y,MAE_percentage_y,MSE_percentage_y,r2_percentage_y,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.learning_rate,config.batch_size,config.bidirectional,config.lstm_layers,config.hidden_dim,config.lstm_output_dim,config.dropout_lstm,config.dropout_lin,config.opt_step_size,config.labels,config.classification_tasks,config.regression_tasks,config.loss_fnct,config.main_weight,config.cnn_layers,config.cnn_kernel_size
477eb_00000,19.2652530670166,0.5669972896575928,0.8337998986244202,0.8427993655204773,0.943560004234314,0.8238228559494019,70.68305206298828,6758.9521484375,-2.7011220455169678,180.4822735786438,True,,,30,f6bf95269fd14a219fd6f068be105762,2021-10-17_10-28-54,1634455734,5409.417596340179,327405,crimv3mgpu022,10.141.0.28,5409.417596340179,0,30,"0_batch_size=64,bidirectional=False,cnn_kernel_size=3,cnn_layers=1,dropout_lin=0.28912,dropout_lstm=0.2583,hidden_dim=64,learning_rate=4.9909e-05,lstm_layers=1,lstm_output_dim=241,main_weight=0.31235,opt_step_size=6",4.990893769456897e-05,64,False,1,64,241,0.2582958814594061,0.2891185133803539,6,"['main_y', 'percentage_y']",['main_y'],['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.L1Loss'>]",0.3123548078544046,1,3
477eb_00001,26.82695770263672,0.5186613202095032,0.8178995847702026,0.820065438747406,0.9548741579055786,0.8011435270309448,70.68363952636719,6759.17529296875,-2.7009339332580566,104.71343731880188,True,,,11,e8c74e5b007f45b09064d8f256ae2c54,2021-10-17_10-48-34,1634456914,1164.4100584983826,327408,crimv3mgpu022,10.141.0.28,1164.4100584983826,0,11,"1_batch_size=128,bidirectional=True,cnn_kernel_size=3,cnn_layers=1,dropout_lin=0.30502,dropout_lstm=0.29792,hidden_dim=32,learning_rate=7.1076e-06,lstm_layers=1,lstm_output_dim=18,main_weight=0.23473,opt_step_size=3",7.107632220913421e-06,128,True,1,32,18,0.2979215747028542,0.3050152232432354,3,"['main_y', 'percentage_y']",['main_y'],['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.L1Loss'>]",0.23473072956288465,1,3
477eb_00002,2.6788432598114014,0.5389366745948792,0.823437511920929,0.8314854502677917,0.9437228441238403,0.8112063407897949,70.49896240234375,6739.3369140625,-2.6770269870758057,90.14506673812866,True,,,11,dbb6573fbcde41eb8456fc7a78aed251,2021-10-17_11-05-30,1634457930,1010.5511174201965,327401,crimv3mgpu022,10.141.0.28,1010.5511174201965,0,11,"2_batch_size=1024,bidirectional=True,cnn_kernel_size=3,cnn_layers=2,dropout_lin=0.36364,dropout_lstm=0.22223,hidden_dim=64,learning_rate=8.871e-05,lstm_layers=2,lstm_output_dim=53,main_weight=0.91569,opt_step_size=2",8.87100266047031e-05,1024,True,2,64,53,0.22223445713599033,0.3636356729101514,2,"['main_y', 'percentage_y']",['main_y'],['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.L1Loss'>]",0.9156908356441408,2,3
477eb_00003,10.663980484008789,0.5323560833930969,0.8207579255104065,0.8340560793876648,0.9348783493041992,0.809962272644043,70.54346466064453,6743.0595703125,-2.6844899654388428,55.57381296157837,True,,,19,32c67d28ca9d44b5b4c7cb7fa13f58a4,2021-10-17_11-23-29,1634459009,1072.83744430542,327398,crimv3mgpu022,10.141.0.28,1072.83744430542,0,19,"3_batch_size=2048,bidirectional=True,cnn_kernel_size=8,cnn_layers=1,dropout_lin=0.10296,dropout_lstm=0.53688,hidden_dim=32,learning_rate=0.060337,lstm_layers=2,lstm_output_dim=243,main_weight=0.53404,opt_step_size=19",0.060337416101941904,2048,True,2,32,243,0.5368754836630506,0.10295943795841045,19,"['main_y', 'percentage_y']",['main_y'],['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.L1Loss'>]",0.5340406047041302,1,8
477eb_00004,7.8535356521606445,0.572435736656189,0.8349863886833191,0.8434823155403137,0.943782389163971,0.8252953290939331,70.49896240234375,6739.3369140625,-2.6770269870758057,42.34397840499878,True,,,15,fe89151c69b44298bda20460f63fc36e,2021-10-17_11-34-33,1634459673,658.6864800453186,327394,crimv3mgpu022,10.141.0.28,658.6864800453186,0,15,"4_batch_size=1024,bidirectional=True,cnn_kernel_size=9,cnn_layers=1,dropout_lin=0.44555,dropout_lstm=0.6582,hidden_dim=32,learning_rate=0.001212,lstm_layers=1,lstm_output_dim=89,main_weight=0.721,opt_step_size=1",0.001212039484471169,1024,True,1,32,89,0.6582036310338995,0.44554985510293765,1,"['main_y', 'percentage_y']",['main_y'],['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.L1Loss'>]",0.7210015341197766,1,9
477eb_00005,25.611482620239258,0.0,0.7150397896766663,0.7150397896766663,1.0,0.5962333083152771,70.68305206298828,6758.9521484375,-2.7011220455169678,163.38010573387146,True,,,15,efb4b91664b149838bf26839162b6a97,2021-10-17_12-15-11,1634462111,2430.540523290634,327404,crimv3mgpu022,10.141.0.28,2430.540523290634,0,15,"5_batch_size=64,bidirectional=False,cnn_kernel_size=5,cnn_layers=1,dropout_lin=0.97039,dropout_lstm=0.26882,hidden_dim=8,learning_rate=0.013187,lstm_layers=1,lstm_output_dim=30,main_weight=0.11202,opt_step_size=9",0.013187389549187242,64,False,1,8,30,0.26881973854151275,0.9703860728444627,9,"['main_y', 'percentage_y']",['main_y'],['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.L1Loss'>]",0.1120207205373075,1,5
477eb_00006,16.1542911529541,0.5774025321006775,0.8350937962532043,0.8592787384986877,0.9200830459594727,0.8298740386962891,70.68363952636719,6759.17529296875,-2.7009339332580566,84.90395045280457,True,,,30,f2f97346dc1b41b49e838556c39aa8f5,2021-10-17_12-57-29,1634464649,2532.998027563095,327400,crimv3mgpu022,10.141.0.28,2532.998027563095,0,30,"6_batch_size=256,bidirectional=True,cnn_kernel_size=6,cnn_layers=2,dropout_lin=0.071683,dropout_lstm=0.5733,hidden_dim=8,learning_rate=0.0045919,lstm_layers=1,lstm_output_dim=227,main_weight=0.10372,opt_step_size=12",0.004591933922910657,256,True,1,8,227,0.5732954226163464,0.07168324062073961,12,"['main_y', 'percentage_y']",['main_y'],['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.L1Loss'>]",0.10371533329008253,2,6
477eb_00007,0.450672447681427,0.5597147941589355,0.8304293155670166,0.8419126272201538,0.9386829137802124,0.8208547234535217,70.52140808105469,6743.62451171875,-2.6847987174987793,32.79597783088684,True,,,30,b9260e9e1a964402b19d6106984fd959,2021-10-17_13-13-50,1634465630,973.3075215816498,327407,crimv3mgpu022,10.141.0.28,973.3075215816498,0,30,"7_batch_size=2048,bidirectional=False,cnn_kernel_size=9,cnn_layers=1,dropout_lin=0.07186,dropout_lstm=0.39243,hidden_dim=8,learning_rate=7.9408e-05,lstm_layers=2,lstm_output_dim=34,main_weight=0.99806,opt_step_size=4",7.940779661888007e-05,2048,False,2,8,34,0.3924263718225235,0.07186028955115764,4,"['main_y', 'percentage_y']",['main_y'],['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.L1Loss'>]",0.9980622805979719,1,9
477eb_00008,16.44191551208496,0.5787829756736755,0.8326061964035034,0.8685568571090698,0.9022684693336487,0.8299267888069153,70.62234497070312,6752.59130859375,-2.692964792251587,64.04051375389099,True,,,21,9ba7e378dc414e77ad13363e762f692c,2021-10-17_13-37-59,1634467079,1443.7486572265625,327396,crimv3mgpu022,10.141.0.28,1443.7486572265625,0,21,"8_batch_size=512,bidirectional=False,cnn_kernel_size=9,cnn_layers=2,dropout_lin=0.42503,dropout_lstm=0.64403,hidden_dim=64,learning_rate=0.00050231,lstm_layers=1,lstm_output_dim=86,main_weight=0.51296,opt_step_size=7",0.0005023068661394001,512,False,1,64,86,0.6440322931429107,0.42503344253600894,7,"['main_y', 'percentage_y']",['main_y'],['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.L1Loss'>]",0.5129639751851934,2,9
477eb_00009,13.372624397277832,0.5121146440505981,0.8157650232315063,0.8162428140640259,0.958059549331665,0.7974358201026917,70.68363952636719,6759.17529296875,-2.7009339332580566,133.33317971229553,True,,,30,cae505973c6943b7b093ef6f7149f309,2021-10-17_14-45-09,1634471109,4024.2537384033203,327406,crimv3mgpu022,10.141.0.28,4024.2537384033203,0,30,"9_batch_size=128,bidirectional=False,cnn_kernel_size=10,cnn_layers=2,dropout_lin=0.81817,dropout_lstm=0.36316,hidden_dim=64,learning_rate=2.0704e-06,lstm_layers=2,lstm_output_dim=99,main_weight=0.75569,opt_step_size=15",2.070445992511995e-06,128,False,2,64,99,0.36316118007279063,0.8181699933424739,15,"['main_y', 'percentage_y']",['main_y'],['percentage_y'],"[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>, <class 'torch.nn.modules.loss.L1Loss'>]",0.7556923423818198,2,10
