trial_id,loss,mcc_main_y,acc_main_y,prec_main_y,rec_main_y,f1_main_y,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.learning_rate,config.batch_size,config.bidirectional,config.lstm_layers,config.hidden_dim,config.lstm_output_dim,config.dropout_lstm,config.dropout_lin,config.opt_step_size,config.labels,config.classification_tasks,config.regression_tasks,config.loss_fnct,config.main_weight,config.cnn_layers,config.cnn_kernel_size
3aa24_00000,0.38431742787361145,0.5658220052719116,0.8399951457977295,0.8430173993110657,0.9590578675270081,0.8269876837730408,168.67834734916687,True,,,15,a5ccada0a227452da1a3f3efe9d6e560,2021-10-31_15-14-05,1635682445,2493.4500646591187,370416,crimv3mgpu024,10.141.0.30,2493.4500646591187,0,15,"0_batch_size=64,bidirectional=False,cnn_kernel_size=7,cnn_layers=2,dropout_lin=0.28263,dropout_lstm=0.062398,hidden_dim=16,learning_rate=0.0026508,lstm_layers=2,lstm_output_dim=52,opt_step_size=18",0.002650844245000861,64,False,2,16,52,0.06239832471645845,0.28262517002255105,18,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],1.0,2,7
3aa24_00001,0.5997925400733948,0.0,0.728841245174408,0.728841245174408,1.0,0.6145267486572266,136.07681393623352,True,,,30,b9cd1cf8a4b940e9851f6a9c2b6d2976,2021-10-31_16-20-40,1635686440,3990.383152484894,370407,crimv3mgpu024,10.141.0.30,3990.383152484894,0,30,"1_batch_size=128,bidirectional=False,cnn_kernel_size=7,cnn_layers=3,dropout_lin=0.75015,dropout_lstm=0.085007,hidden_dim=8,learning_rate=1.4649e-06,lstm_layers=2,lstm_output_dim=178,opt_step_size=17",1.464917295411796e-06,128,False,2,8,178,0.08500669554428775,0.7501456213675792,17,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],1.0,3,7
3aa24_00002,0.5848963260650635,0.0,0.728841245174408,0.728841245174408,1.0,0.6145267486572266,85.40990591049194,True,,,8,28c0d6fdf7a24d82b6d576a794989ecb,2021-10-31_16-32-20,1635687140,691.0761034488678,370411,crimv3mgpu024,10.141.0.30,691.0761034488678,0,8,"2_batch_size=256,bidirectional=True,cnn_kernel_size=2,cnn_layers=2,dropout_lin=0.07375,dropout_lstm=0.57591,hidden_dim=8,learning_rate=0.0024619,lstm_layers=2,lstm_output_dim=232,opt_step_size=7",0.0024618539797284125,256,True,2,8,232,0.5759115825338619,0.0737502625681925,7,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],1.0,2,2
3aa24_00003,0.4707351326942444,0.3883848190307617,0.7857860326766968,0.7792226076126099,0.9852373003959656,0.739259660243988,53.369779109954834,True,,,6,e30d4499e06947d6b432463a33182d72,2021-10-31_16-38-03,1635687483,339.00991320610046,370421,crimv3mgpu024,10.141.0.30,339.00991320610046,0,6,"3_batch_size=2048,bidirectional=True,cnn_kernel_size=7,cnn_layers=1,dropout_lin=0.82134,dropout_lstm=0.31767,hidden_dim=16,learning_rate=0.012956,lstm_layers=2,lstm_output_dim=199,opt_step_size=17",0.012955890537576136,2048,True,2,16,199,0.31767131771514756,0.8213430284038891,17,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],1.0,1,7
3aa24_00004,0.5265644192695618,0.0,0.7288413047790527,0.7288413047790527,1.0,0.6145267486572266,81.90317177772522,True,,,30,973106f32b0e4070a494dc5ad599521b,2021-10-31_17-18-25,1635689905,2417.0844831466675,370400,crimv3mgpu024,10.141.0.30,2417.0844831466675,0,30,"4_batch_size=1024,bidirectional=False,cnn_kernel_size=10,cnn_layers=3,dropout_lin=0.82232,dropout_lstm=0.31766,hidden_dim=16,learning_rate=2.8762e-05,lstm_layers=2,lstm_output_dim=51,opt_step_size=6",2.8761699695464194e-05,1024,False,2,16,51,0.317663123413091,0.8223188056933154,6,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],1.0,3,10
3aa24_00005,0.4898357391357422,0.43415895104408264,0.7984161376953125,0.7907664179801941,0.9837022423744202,0.7602010369300842,50.906850814819336,True,,,30,6a30450392f2419fa831ce33348b8dab,2021-10-31_17-43-43,1635691423,1513.2447137832642,370420,crimv3mgpu024,10.141.0.30,1513.2447137832642,0,30,"5_batch_size=2048,bidirectional=True,cnn_kernel_size=4,cnn_layers=0,dropout_lin=0.8405,dropout_lstm=0.38943,hidden_dim=16,learning_rate=5.1323e-05,lstm_layers=2,lstm_output_dim=155,opt_step_size=17",5.1323363421561457e-05,2048,True,2,16,155,0.3894270624951276,0.8405010075927984,17,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],1.0,0,4
3aa24_00006,0.4133606553077698,0.5459181666374207,0.8302231431007385,0.8546508550643921,0.9242438673973083,0.8231127858161926,91.99465656280518,True,,,30,5f1cb13651284f119a01d3d55baf185e,2021-10-31_18-29-00,1635694140,2710.7243995666504,370412,crimv3mgpu024,10.141.0.30,2710.7243995666504,0,30,"6_batch_size=128,bidirectional=True,cnn_kernel_size=4,cnn_layers=1,dropout_lin=0.19582,dropout_lstm=0.15698,hidden_dim=16,learning_rate=5.1335e-06,lstm_layers=1,lstm_output_dim=57,opt_step_size=19",5.133521100797469e-06,128,True,1,16,57,0.15697593321257397,0.1958163981301877,19,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],1.0,1,4
3aa24_00007,0.41331371665000916,0.5423629283905029,0.8309049010276794,0.8463568687438965,0.9383350014686584,0.820801854133606,128.3161437511444,True,,,10,182cf599d15b42549974080c654e7cef,2021-10-31_18-50-42,1635695442,1297.528017282486,370417,crimv3mgpu024,10.141.0.30,1297.528017282486,0,10,"7_batch_size=512,bidirectional=True,cnn_kernel_size=8,cnn_layers=3,dropout_lin=0.4382,dropout_lstm=0.90434,hidden_dim=128,learning_rate=0.0045797,lstm_layers=1,lstm_output_dim=235,opt_step_size=10",0.004579685033938005,512,True,1,128,235,0.904342426238425,0.4381971725799373,10,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],1.0,3,8
3aa24_00008,0.38893112540245056,0.5749810338020325,0.8400213122367859,0.8642474412918091,0.9259467720985413,0.8342890739440918,67.32016038894653,True,,,24,f2ee051e456a4287b3b759d0a8b52b0d,2021-10-31_19-18-16,1635697096,1647.269281387329,370422,crimv3mgpu024,10.141.0.30,1647.269281387329,0,24,"8_batch_size=2048,bidirectional=True,cnn_kernel_size=5,cnn_layers=0,dropout_lin=0.34951,dropout_lstm=0.28425,hidden_dim=128,learning_rate=0.00012417,lstm_layers=1,lstm_output_dim=140,opt_step_size=9",0.00012416692415921803,2048,True,1,128,140,0.2842512631333982,0.3495139047137191,9,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],1.0,0,5
3aa24_00009,0.42941299080848694,0.5457844734191895,0.8318051695823669,0.8484858274459839,0.9364521503448486,0.8223353624343872,60.04991912841797,True,,,30,ada7f141d6514454ab6d2b76d3284038,2021-10-31_19-48-06,1635698886,1785.6163051128387,370414,crimv3mgpu024,10.141.0.30,1785.6163051128387,0,30,"9_batch_size=512,bidirectional=False,cnn_kernel_size=5,cnn_layers=0,dropout_lin=0.28914,dropout_lstm=0.2838,hidden_dim=128,learning_rate=1.3385e-06,lstm_layers=1,lstm_output_dim=197,opt_step_size=15",1.3385115311825485e-06,512,False,1,128,197,0.2838025725248712,0.2891409653707365,15,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],1.0,0,5
